ApplicantID,EducationInstituteName,Score,EducationLevelID,MajorID,Degree,YearsOfEducation
200,universitas surabaya,2.98,2,3,True,4
202,universitas wijaya kusuma surabaya,0.8625,2,6,True,4
203,universitas sebelas maret surakarta,3.14,2,3,True,4
205,universitas negeri surabaya,2.93,2,7,True,4
212,sekolah tinggi ilmu ekonomi indonesia stiesia surabaya,0.69,2,2,True,6
232,universitas surabaya,3.07,2,2,True,4
233,"universitas dr, soetomo",0.6875,2,2,True,4
238,universitas muhammadiyah malang,3.62,2,3,True,3
239,universitas airlangga,0.7875,2,7,True,4
241,universitas negeri surabaya,0.7625,4,2,True,3
249,universitas airlangga,3.48,2,7,True,6
251,muhammadiyah university of malang,2.93,2,3,True,5
255,universitas diponegoro,3.0,2,2,True,6
262,smk negeri 4 bojonegoro,3.5839999999999996,6,4,False,2
264,universitas negeri surabaya,0.7675,2,0,False,4
267,universitas narotama,3.0,2,4,True,2
268,universitas islam kadiri,2.86,2,7,True,7
271,politeknik elektronika negeri surabaya,3.48,3,4,True,5
275,universitas 17 agustus 1945 surabaya,3.78,2,7,True,3
279,"universitas pembangunan nasional ""veteran"" jawa timur",3.48,2,4,True,3
281,uin sunan ampel surabaya,3.47,2,5,True,6
282,univ airlangga,2.7,2,7,True,7
287,universitas brawijaya,3.39,2,3,True,5
289,universitas negeri surabaya,0.77,4,4,True,4
290,universitas islam bandung,3.46,2,10,True,3
295,universitas islam malang,3.31,2,7,False,4
296,universitas esa unggul,2.9,2,10,True,6
297,universitas kristen petra,3.38,2,7,False,0
301,universitas surabaya,3.24,2,2,True,3
304,telkom university,3.62,2,10,True,3
306,universitas wijaya kusuma surabaya,3.2,2,0,True,3
308,stih sunan giri malang,0.7775,2,6,True,5
309,universitas brawijaya,3.73,2,0,True,3
311,bhayangkara university ,3.28,2,2,False,4
315,universitas soerjo ngawi,3.21,2,6,True,4
317,stie perbanas surabaya,3.6,2,2,True,3
318,brawijaya university,3.45,2,0,True,3
320,sekolah tinggi teknik pln,0.91,2,8,True,3
322,universitas negeri jember,3.67,2,6,True,3
325,politeknik negeri malang,3.44,3,4,True,15
326,ugm,2.75,2,7,True,6
329,universitas negeri surabaya,2.98,2,7,True,9
330,universitas airlangga,2.86,2,3,True,6
332,stie pernamas surabaya,3.32,2,7,True,3
333,universitas hasyim asy'ari tebuireng,3.44,2,6,True,7
346,akademi sekretari widya mandala surabaya,3.25,4,5,True,3
347,school of communication and secretary tarakanita,3.05,4,5,True,3
348,universitas negeri surabaya,2.97,2,7,True,5
350,universitas airlangga,3.16,2,3,True,4
353,stie perbanas surabaya,3.38,4,7,True,2
357,universitas pembangunan nasional veteran jawa timur,3.34,2,2,True,3
362,universitas 17 agustus 1945 surabaya,3.49,2,4,True,4
364,universitas islam negeri maulana malik ibrahim malang,3.72,2,6,True,4
367,universitas surabaya,2.55,2,3,True,6
368,universitas negeri surabaya,3.36,2,3,True,4
370,universitas muhammadiyah malang,3.7,2,3,True,15
371,universitas surabaya,0.9,1,3,False,2
373,universitas kristen duta wacana,2.98,2,4,True,8
374,universitas brawijaya,3.26,2,7,True,3
385,universitas brawijaya,3.59,2,6,True,3
387,"universitas pembangunan nasional ""veteran"" jatim",0.8675,2,4,True,4
388,universitas katolik widya mandala surabaya,3.16,2,7,True,4
392,universitas kristen petra,2.75,2,8,False,16
393,stmik asia,3.04,2,4,True,4
395,institut bisnis dan informatika stikom surabaya,3.33,2,4,True,5
397,universitas negeri malang,3.55,2,5,False,3
398,institut bisnis dan informatika stikom surabaya,0.865,2,4,True,0
399,universitas narotama,3.09,2,4,True,4
400,institut bisnis dan informatika stikom surabaya,3.49,2,4,True,4
402,universitas pgri semarang,0.8025,2,7,True,4
403,politeknik elektronika negeri surabaya,3.34,4,9,True,3
404,upn veteran jawa timur,3.56,2,10,True,4
405,politeknik elektronika negeri surabaya,3.53,3,0,True,4
406,universitas brawijaya,3.62,2,7,True,3
409,universitas muhammadiyah malang,3.72,2,3,True,4
414,universitas negeri malang,3.57,2,7,True,3
417,universitas negeri jakarta,3.14,2,8,True,5
418,universitas 17 agustus 1945 surabaya,0.8175,2,4,True,4
422,universitas merdeka malang,3.01,2,6,True,6
425,universitas pelita harapan surabaya,3.66,1,6,True,3
426,universitas brawijaya,3.62,2,6,True,3
427,universitas islam bandung,2.89,2,6,True,7
428,stiesia surabaya,3.49,2,2,True,6
430,universitas bhayangkara surabaya,3.3,2,6,True,4
433,university of wijaya kusuma surabaya,3.66,2,6,True,4
434,universitas bhayangkara surabaya,3.42,2,6,True,4
438,universitas brawijaya malang,0.825,2,2,True,3
439,airlangga surabaya,3.26,1,6,True,4
440,upn veteran jatim,0.7125,2,4,False,6
443,stit al-ibrohimi,3.03,2,7,True,4
445,universitas jember,3.42,2,6,True,13
448,universitas surabaya,3.827,2,3,False,3
449,sekolah tinggi informatika dan komputer indonesia,3.3,2,4,True,4
450,universitas hang tuah surabaya,2.6,2,3,True,7
451,brawijaya university,2.64,2,4,True,6
454,universitas brawijaya,2.97,2,3,True,4
455,universitas wr. supratman surabaya,0.78,2,2,True,4
457,universitas telkom,2.95,2,4,True,5
461,universitas surabaya (ubaya),2.3,2,6,False,6
463,universitas muhammadiyah surakarta,3.11,2,6,True,4
464,stie perbanas surabaya,3.47,2,2,True,3
472,"universitas pembangunan ""veteran"" jakarta",0.7875,2,10,True,4
473,unipa sby,2.55,2,7,True,5
485,uin sunan ampel surabaya,3.64,2,7,True,4
491,airlangga university,3.6,2,6,True,4
495,universitas islam indonesia,3.3,2,3,True,4
500,stie urip sumoharjo,0.9625,2,2,True,3
505,universitas airlangga,3.41,2,3,True,4
510,telkom university,3.4,4,4,False,15
512,stikom surabaya,3.6,4,5,False,3
514,brawijaya university,3.12,2,10,True,6
515,unika widya mandala surabaya,3.25,2,3,True,6
519,prof dr moestopo (beragama),2.97,2,10,True,4
522,universitas airlangga,3.13,1,6,True,0
526,syiah kuala university,3.32,2,3,True,4
527,"universitas pembangunan nasional ""veteran"" jawa timur",2.79,2,0,True,18
528,brawijaya university,3.76,2,6,True,3
531,universitas brawijaya,3.48,2,6,True,4
532,universitas persada indonesia yai,2.8,2,3,True,5
534,universitas kristen petra,3.04,2,20,True,4
538,universitas surabaya (ubaya),3.352,2,2,True,3
542,smkn 40 jakarta,2.94,6,7,True,3
543,indraprasta pgri,3.09,2,4,True,6
551,"universitas pembangunan nasional ""veteran"" yogyakarta",3.64,2,10,True,4
553,universitas gunadarma,3.48,2,3,True,4
559,bina sarana informatika ,3.69,4,4,True,3
562,atma jaya yogyakarta,3.22,2,10,True,6
566,universitas katholik atmajaya jakarta,2.89,2,6,True,0
567,bina sarana informatika,3.33,4,4,True,3
573,universitas mercu buana,0.93,2,3,True,4
575,universitas budi luhur dan universitas persada indonesia y.a.i (psikologi),3.26,1,4,True,3
577,stie perbanas surabaya,2.94,2,2,True,16
589,universitas negeri jakarta,3.44,2,8,True,4
592,universty of muhammadiyah malang,3.21,2,2,True,4
594,universitas surabaya,3.35,2,6,True,3
599,universitas warmadewa,0.855,2,6,True,3
600,stiesia surabaya,3.38,4,2,True,2
602,its surabaya,0.78,2,8,True,6
604,universitas fajar,3.59,4,2,False,2
605,sekolah tinggi ilmu ekonomi indonesia surabaya,3.8,4,2,True,2
607,univ. pattimura,0.8725,2,6,True,6
609,politeknik elektronika negeri surabaya,3.0,4,10,True,3
614,universitas pelita harapan surabaya,3.04,2,6,True,3
616,universitas mercu buana,0.75,2,10,True,6
620,smak mater dei,3.3600000000000003,5,13,False,2
622,universita indraprasta pgri,2.9,2,10,False,5
626,sekolah tinggi multi media 'mmtc' yogyakarta,3.48,2,10,True,4
628,unesa,2.64,2,7,True,4
629,universitas negeri surabaya,3.0,2,7,True,7
630,ma attaqwa 02,3.5159999999999996,5,7,True,1
631,uin syarif hidayatullah jakarta,0.8525,2,3,True,7
633,its,0.7725,2,8,True,5
637,bina sarana informartika,3.14,4,10,False,3
641,universitas khatolik atma jaya,3.27,2,3,False,4
645,universitas islam negeri sunan ampel surabaya,3.15,2,7,True,0
646,universitas brawijaya malang,3.24,2,7,True,4
647,universitas brawijaya,3.36,2,3,True,4
649,universitas surabaya,2.507,2,2,True,5
653,politeknik negeri malang,2.9,3,2,True,5
654,universitas wijaya kusuma surabaya,3.27,2,2,True,3
659,universitas jember,0.785,2,6,True,4
661,universitas brawijaya malang,2.9,2,7,True,7
663,universitas mercu buana,3.05,2,7,True,4
665,universitas sahid surakarta,0.8525,2,14,True,3
669,universitas negeri malang,3.37,2,7,True,0
670,akademi sekretari widya mandala surabaya,3.4,4,5,True,3
675,"st. theresa, jakarta",3.18,4,5,True,2
676,stie yapan,3.18,2,7,True,3
677,trisakti institute of tourism,3.8,1,1,False,6
684,universitas airlangga,2.83,2,7,False,4
688,universitas airlangga,3.0,2,6,True,5
690,university of brawijaya,3.3,2,3,True,4
696,politeknik negeri malang,3.7,4,4,True,4
697,"universitas pembangunan nasional ""veteran""jakarta",3.33,2,6,True,1
698,universitas brawijaya,0.97,4,5,True,2
702,universitas airlangga,3.3,1,6,True,4
708,sumpah pemuda law of school,3.86,2,6,True,3
709,universitas jember,3.4,2,9,True,3
710,universitas sumatera utara,3.06,2,6,True,16
715,universitas brawijaya,3.41,2,3,True,4
717,hang tuah surabaya,3.18,2,3,True,4
718,universitas pembangunan nasional veteran jakarta,3.57,2,6,True,3
720,institut teknologi sepuluh nopember surabaya,3.8,1,8,True,5
721,"universitas pembangunan nasional veteran jawa timur, surabaya",2.69,2,4,True,5
724,universitas atma jaya jakarta,0.8075,2,6,True,4
728,stimik perbanas,2.5,4,2,False,5
729,stikom.interstudi,2.95,4,10,True,4
731,mercu buana,3.34,2,3,True,0
733,amik bsi,0.895,4,4,True,3
738,smkn 29 jakarta,2.7239999999999998,6,9,True,12
741,universitas jenderal soedirman,3.39,2,6,True,4
744,universitas negeri surabaya,3.06,2,6,False,5
745,universitas sahid jakarta,3.53,2,6,True,4
748,universitas negeri yogyakarta,0.9225,1,3,True,6
750,stikom surabaya,0.895,2,4,True,5
753,university of north sumatra,2.99,2,8,True,7
755,atma jaya yogyakarta university,3.8,2,6,True,3
765,universitas brawijaya,3.59,2,7,True,6
767,institut teknologi bandung,3.06,2,7,True,5
768,universitas brawijaya,3.06,2,7,True,5
775,universitas brawijaya,3.61,2,6,True,3
776,politeknik negeri media kreatif,3.45,4,0,True,3
777,universitas atma jaya jakarta,3.41,2,6,True,4
778,universitas katolik indonesia atma jaya,3.13,2,6,True,4
797,universitas islam indonesia,3.86,1,6,True,4
799,universitas surabaya,3.15,2,6,True,3
807,unika atma jaya jakarta,3.05,2,6,True,5
809,universitas jember,3.14,2,6,True,4
812,universitas brawijaya,3.5,3,6,True,3
813,universitas katolik widya mandala surabaya,2.9,2,2,False,4
824,bina sarana informatika,3.44,4,7,True,3
830,universitas indra prasta pgri,0.7025,2,7,True,6
841,uin sunan ampel,0.8,2,3,True,5
850,universitas tama jagakarsa,3.54,2,3,False,4
855,universitas brawijaya,3.48,2,6,True,4
858,stikom the london school of public relations jakarta,3.01,2,10,True,5
866,universitas gunadarma,3.89,1,8,True,4
872,hang tuah,2.6,2,3,True,7
873,stima immi,0.84,2,7,True,10
875,smk pradana giri banyuwangi,0.75,6,9,True,3
876,universitas bengkulu,0.76,2,6,False,3
878,airlangga university,3.05,2,7,True,5
883,universitas jember,0.8375,2,6,True,4
886,atma jaya (marketing management),2.6,2,0,True,5
892,institut teknologi sepuluh nopember,3.32,2,7,True,4
898,universitas muhammadiyah malang,3.26,2,6,True,6
910,abfii perbanas,0.7175,2,2,True,5
913,uin syarif hidayatullah jakarta,2.84,2,3,True,7
917,universitas brawijaya,3.62,1,6,True,0
930,pakuan bogor,2.413,2,11,True,5
937,smk kawung 1 surabaya,3.6,6,4,True,3
944,universitas islam negeri maulana malik ibrahim malang,3.38,2,6,True,4
945,universitas airlangga,3.25,2,7,False,4
946,widya mandala,3.9,2,10,True,3
950,state university of surabaya,3.5,2,7,True,3
953,universitas indonesia,3.73,1,6,True,15
964,universitas islam negeri syarif hidayatullah jakarta,3.56,2,3,True,13
967,universitas airlangga,3.26,1,6,True,5
984,universitas hkbp nommensen medan,3.21,2,6,True,4
993,stmik akba makassar,3.7,2,4,True,4
1001,brawijaya university,3.02,2,7,True,7
1009,widya mandala,3.17,2,7,True,4
1010,uin sunan ampel surabaya,3.89,1,7,True,4
1017,universitas gadjah mada,3.53,2,6,True,0
1021,universitas trisakti,0.875,2,6,True,4
1046,universitas internasional batam,3.75,2,6,True,3
1051,universitas katolik parahyangan,2.78,2,6,True,5
1052,dr. soetomo university ,3.56,2,7,True,4
1053,universitas jenderal soedirman,0.775,2,6,True,3
1054,universitas kristen indonesia,3.67,2,6,True,5
1057,akademi sekretaris widya mandala surabaya,0.795,4,5,False,3
1063,universitas muhammadiyah prof. dr. hamka,3.5,2,2,True,4
1064,bakrie university,3.16,2,8,True,4
1068,universitas lampung (unila),3.15,2,6,True,4
1069,uin syarif hidayatullah jakarta,3.47,2,6,True,6
1079,institut bisnis dan informatika stikom surabaya,3.47,2,0,False,6
1080,institut bisnis dan informatika stikom surabaya,3.96,4,5,True,14
1081,universitas surabaya,2.845,2,14,True,4
1085,universitas komputer indonesia,3.26,2,2,False,3
1092,universitas negeri surabaya,3.68,2,3,True,13
1094,universitas muhammadiyah sidoarjo,3.37,2,10,True,4
1097,universitas pembangunan nasional veteran jawa timur,3.08,2,7,True,3
1101,politeknik ubaya surabaya,3.843,4,5,False,2
1103,binus,0.76,2,7,True,3
1105,universitas pembangunan panca budi medan,3.01,2,6,True,0
1108,stmik duta bangsa surakarta,3.17,2,4,True,4
1111,universitas katolik widya mandala surabaya,0.8425,2,7,True,3
1116,ugm,3.5,1,6,False,5
1117,stts,3.2,2,4,True,18
1118,universitas persada indonesia y.a.i,0.7725,2,3,True,3
1119,universitas islam indonesia,3.69,1,0,True,1
1120,universitas jember,3.4,4,5,True,2
1121,universitas airlangga,3.87,2,6,True,3
1125,universitas brawijaya,3.43,2,10,True,6
1128,stie perbanas surabaya,3.41,2,17,True,8
1129,universitas airlangga ,2.98,1,6,True,2
1132,universitas jember,3.1,2,7,False,5
1133,stie perbanas surabaya,3.18,2,2,True,3
1134,universitas muhammadiyah malang,0.9675,2,7,True,3
1145,stikom poltek cirebon,3.11,4,2,True,6
1153,airlangga,2.57,4,7,True,4
1171,universitas ma chung,3.26,2,7,False,3
1175,borobudur university,3.48,2,2,True,3
1178,universitas surabaya,0.6925,2,6,True,5
1211,smk n 16,3.0,6,2,False,2
1223,smkn 13 jakarta,3.24,6,2,False,2
1226,gunadarma,2.73,4,4,True,3
1236,universitas negeri malang,3.14,2,7,False,7
1238,universitas brawijaya,3.51,2,7,True,5
1252,jember university,2.97,2,7,True,6
1300,universitas islam negeri jakarta ,0.7775,2,7,True,4
1305,faculty of law airlangga university,3.68,1,6,True,5
1310,smk muhammadiyah 6,3.656,6,2,False,3
1314,institut teknologi sepuluh nopember surabaya,0.785,2,4,False,5
1324,institut agama islam ibrahimy sukorejo,3.45,2,6,True,4
1340,universitas nasional,0.9025,2,10,False,3
1341,smk dharma karya,2.87,6,5,True,2
1344,unsika,2.89,2,7,True,4
1355,universitas trisakti ,3.15,4,2,True,2
1359,sma yapemri,3.24,5,0,False,3
1376,universitas pancasila,3.73,2,6,True,4
1379,istts,3.2,2,15,True,14
1382,dr. soetomo surabaya,2.65,2,0,True,4
1384,bina sarana informatika,3.44,4,10,True,0
1390,universitas diponegoro,3.73,2,6,True,3
1391,petra christian university,0.645,2,2,True,4
1393,universitas persada indonesia y. a. i,3.69,2,3,True,4
1400,universitas yarsi,3.17,2,3,False,3
1414,mam,2.4,5,15,False,11
1416,uiversitas persada yai,0.755,2,3,True,4
1419,politeknik perkapalan negeri surabaya,0.7575,3,0,True,4
1425,umoversitas wijaya kusuuma surabaya,3.58,2,4,True,3
1427,universitas negeri padang,3.26,2,3,True,0
1429,universitas al azhar indonesia,3.43,2,7,False,4
1433,bina sarana informatika,3.52,4,0,True,3
1439,universitas negeri surabaya,0.8,2,15,True,3
1444,universitas sanata dharma yogyakarta,0.89,2,3,True,4
1464,universitas pembangunan nasional veteran jatim,3.04,2,6,True,5
1468,smk purnama,2.978,6,13,True,12
1472,sma yadika 8,3.532,5,13,False,2
1480,universitas gunadarma,3.39,2,2,True,4
1501,smk negeri 18 jakarta,3.5200000000000005,6,2,False,3
1502,universitas islam malang,3.63,2,2,True,4
1506,universitas brawijaya malang,3.83,2,15,True,15
1508,universitas negeri surabaya,3.57,2,3,True,3
1515,universitas brawijaya,3.61,2,4,False,3
1522,stft widya sasana (falkutas filsafat theologi),3.0,2,15,False,6
1523,"upn ""veteran"" jawa timur",3.63,2,4,True,12
1525,universitas pembangunan nasional veteran jawa timur,3.65,2,4,True,3
1528,unika atmajaya jakarta,3.33,2,6,True,4
1535,upn veteran jawa timur,3.66,2,4,False,8
1545,univeersitas negeri surabaya,0.69,2,15,False,5
1555,uin sunan ampel surabaya,0.88,2,15,True,4
1557,akademi komunikasi indonesia,3.25,4,10,True,3
1560,ambarukmo palace tourism academy,0.8175,4,1,True,3
1564,esa unggul university,3.15,2,3,True,4
1566,d2 universitas negeri malang,3.1,9,5,False,1
1567,diploma 2 universitas negeri malang,3.1,9,5,False,1
1572,universitas katolik widya mandala surabaya,3.39,2,10,False,5
1584,bina sarana informatika,3.27,4,15,True,5
1590,universitas pembangunan nasional,3.25,2,15,True,4
1592,universitas kristen petra,2.91,2,19,True,4
1599,universitas airlangga,2.92,2,7,True,4
1613,universitas tanri abeng,3.15,2,15,True,1
1615,unika widya mandala,3.95,2,7,True,4
1619,"universitas pembangunan nasional ""veteran"" jawa timur",3.22,2,10,True,4
1632,universitas brawijaya,3.43,2,7,True,3
1649,universitas sam ratulangi,3.18,2,6,True,4
1652,stp trisakti jakarta,3.79,1,7,True,2
1656,university of indonesia,2.75,2,6,True,5
1661,universitas indonesia,3.33,4,5,False,3
1665,smkn maesan bondowoso,3.4,6,4,True,3
1668,brawijaya,3.4,2,7,True,4
1674,universitas brawijaya,3.6,4,5,True,2
1677,sekolah tinggi teknik surabaya,0.595,2,4,False,5
1679,universitas pancasila,3.42,2,6,True,3
1680,airlangga university,3.44,2,15,True,4
1681,universitas diponegoro,3.45,2,6,True,3
1683,universitas trisakti,3.32,2,6,True,4
1689,uwks surabaya,0.76,2,17,True,4
1696,politeknin negeri jember ,3.33,4,16,True,5
1700,universitas airlangga,3.87,4,5,False,3
1702,universitas kristen maranatha,2.94,2,6,True,7
1704,sman 12 bekasi,3.56,5,0,False,3
1707,pancasila university ,0.835,2,6,True,4
1712,universitas trisakti,3.07,2,6,True,4
1716,universitas trisakti,0.77,1,6,True,5
1726,university of brawijaya ,3.06,2,15,True,6
1730,universitas negeri surabaya,3.26,2,9,False,16
1731,universitas negeri jakarta,2.89,2,7,True,7
1745,universitas trunojoyo,3.07,2,6,True,5
1746,universitas brawijaya,2.78,2,7,True,4
1751,smkn 38 jakarta,2.6,6,14,False,2
1761,istts,3.77,2,4,True,4
1762,universitas satya negara indonesia,0.8275,2,10,True,4
1767,widya mandala,3.28,2,2,True,3
1771,sma al asiyah cibinong,3.2,5,0,True,3
1782,universitas airlangga,3.16,2,10,True,8
1786,university of pamulang,3.51,2,6,True,4
1788,"universitas pembangunan nasional ""veteran"" jawa timur",3.86,2,4,True,6
1790,universitas jenderal soedirman,0.825,2,7,True,6
1791,"universitas pembangunan nasional ""veteran"" jawa timur",0.8975,2,4,True,3
1798,politeknik negeri malang,3.54,4,5,True,3
1802,sma anglo,0.0,5,13,False,12
1805,universitas gunadarma,3.25,2,2,False,4
1806,universitas borobudur,3.71,2,6,True,13
1808,universitas kristen petra surabaya,3.13,2,8,True,16
1816,tarumanagara university,0.6875,2,6,True,5
1817,universitas sumatera utara,3.69,2,6,True,3
1820,ubaya,2.89,2,0,True,4
1840,universitas pamulang,3.18,2,15,False,4
1844,bina sarana informatika,0.8925,4,7,True,6
1847,universitas brawijaya,3.44,2,2,True,4
1859,smk negeri 2 bandar lampung,3.2,6,11,False,2
1866,brawijaya malang,3.74,1,6,True,4
1873,institut teknologi sepuluh nophember,3.16,2,8,True,4
1877,universitas indraprasta pgri,0.7825,2,15,True,4
1879,universitas kristen petra,3.5,2,10,True,4
1882,president university,3.3,2,6,True,2
1884,universitas trisakti,0.8225,2,2,True,9
1886,universitas trisakti,3.63,2,7,True,4
1889,universitas trisakti,0.755,2,6,True,4
1893,universitas islam sumatera utara,0.775,2,7,True,4
1898,universitas trisakti,3.2,2,6,False,4
1908,universitas jenderal soedirman,3.26,2,6,True,4
1909,universitas sriwijaya,0.8325,2,6,False,3
1915,university of swadaya gunung jati,3.59,2,8,True,4
1924,smk jakarta 1,2.8,6,5,True,3
1926,asmi surabaya,3.12,4,5,True,2
1932,universitas sebelas maret,3.55,2,6,True,3
1939,smk sunan kalijogo jabung,3.2600000000000002,6,7,True,3
1944,universitas ma chung,3.23,2,2,True,3
1950,airlangga university,3.88,4,5,True,3
1952,prisma profesional,4.0,9,10,False,4
1958,universitas airlangga,3.73,4,7,True,4
1963,universitas padjadjaran,3.14,2,7,False,4
1965,unesa,0.7275,2,0,False,5
1972,universitas islam negeri syarif hidayatullah jakarta,3.37,2,3,True,4
1973,universitas suryadarma,3.52,2,7,False,9
1978,universitas negeri jakarta,3.08,4,8,True,3
1979,universitas lampung,3.08,2,8,True,5
1987,universitas indonesia,3.31,2,6,True,3
1993,universitas kristen petra,2.99,2,4,True,5
1998,universitas airlangga,3.79,4,5,True,2
2000,universitas pancasila,3.13,2,0,True,4
2001,tridaya,2.676,6,2,True,0
2002,tarumanagara,3.31,2,6,True,3
2004,universitas trisakti,2.99,2,6,True,5
2007,bina sarana informatika,2.8,4,4,False,3
2008,upn veteran jawa timur,3.23,2,10,True,4
2011,islamic jakarta university ,3.54,2,6,True,3
2016,universitas islam attahiriyah,2.74,2,4,True,6
2019,universitas sultan ageng tirtayasa,0.8475,2,6,True,3
2022,bina sarana informatika,3.81,4,7,True,3
2024,universitas jenderal soedirman,0.77,2,7,True,5
2031,mts. darul ihya,3.0,7,0,False,3
2033,universitas muhammadiyah malang,0.68,2,7,True,5
2034,dirgantara marsekal surya darma,3.5,2,6,False,3
2040,"universitas wijaya kusuma, surabaya",3.21,2,6,True,5
2041,universitas persada indonesia y.a.i,3.21,2,10,False,4
2042,universitas negeri padang,3.21,2,8,True,4
2043,sd tarcisius kemakmuran,0.0,8,4,True,10
2044,universitas surabaya,0.81,2,4,False,3
2048,universitas prof.dr.moestopo(beragama),3.79,2,10,True,5
2049,amik bina sarana informatika,3.11,4,4,True,3
2054,universitas jember,0.815,2,6,True,4
2066,universitas airlangga,3.14,1,6,False,1
2071,politeknik tonggak equator,3.27,3,0,True,4
2074,universitas pembangunan nasional 'veteran' jawa timur,3.71,2,4,True,12
2078,lp3i surabaya,2.95,9,4,True,1
2081,budi luhur,0.7125,2,4,True,5
2086,stmik widya dharma,3.27,2,4,True,4
2090,universitas gunadarma,0.8,2,16,True,4
2094,universitas pakuan,3.05,2,16,True,4
2096,itb stikom bali,3.05,2,16,False,6
2099,universitas kristen petra,3.07,2,14,True,4
2101,gunadarma university,0.7925,2,4,True,4
2104,universitas trisakti,3.19,4,2,True,5
2108,"atma jaya catholic university of indonesia, jakarta",3.33,2,6,True,4
2111,institut teknologi adhi tama surabaya,3.79,2,15,True,3
2115,universitas muhammadiyah sumatera utara,0.775,2,6,False,3
2117,akademi bina sarana informatika,3.2,4,4,True,3
2121,stt terpadu nurul fikri,0.8475,2,4,False,3
2122,smk negeri 1 cerme gresik,3.52,6,16,False,9
2123,universitas 17 agustus 1945,3.23,2,4,True,15
2127,universitas jayabaya,3.15,2,6,True,3
2128,sultan ageng tirtayasa university,3.52,2,8,True,3
2136,universitas telkom,3.18,2,15,True,4
2147,upn 'veteran' jatim,2.97,2,4,True,14
2150,universitas 17 agustus 1945 surabaya,3.3,2,4,False,13
2154,amik bsi,3.34,4,16,False,2
2156,universitas muhammadiyah malang,2.69,2,4,True,12
2157,institut teknologi sepuluh nopember,3.41,2,4,True,4
2158,universitas pembangunan nasional veteran jakarta,0.735,2,4,True,7
2159,perbanas institute ,2.8,2,2,True,5
2162,universitas muhammadiyah malang,3.53,2,4,True,4
2164,universitas budi luhur,3.71,2,4,True,3
2174, muhammadiyah university of palembang,0.8925,2,6,True,3
2175,"universitas pembangunan nasional ""veteran"" jawa timur",3.58,2,4,True,3
2191,politeknik elektronika negeri surabaya,3.05,3,4,True,7
2204,sma 10 surabaya,3.4,5,0,False,3
2206,smk darma siswa 1,3.3200000000000003,6,16,False,2
2209,universitas  muhammadiyah prof.dr. hamka,3.1,2,4,True,4
2210,jenderal soedirman university,3.65,2,6,True,12
2211,stmik nusa mandiri jakarta,3.08,2,4,True,4
2212,politeknik negeri jakarta,3.84,4,15,True,3
