ApplicantID,Industry,CompanyName,JobDescription,Position,Salary,YearsOfExperience
128,jasa general kontraktor,pt dyandra promosindo pt arindya haranti arlina,mempromosikan sebuah event dan exhibition bertugas membangun relasi dengan pihak kedua serta membangun konten dalam penyelenggaraan acara secara langsung mempromosikan beberapa program acara dari media sosial maupun yang lain mengecheck dan memfasilitasi stand peserta menjadi leader organiser artis perusahaan bergerak dalam bidang general kontraktor bertugas melaksanakan serta memastikan dokumen administrasi sesuai persyaratan teknis untuk pre qualification melakukan monitoring proses tender yang sedang berlangsung mempersiapkan dokumen tender sesuai kebutuhan dan jadwal pemasukan dokumen,freelance crew freelance marketing,2750000,3
134,law services,sidabukke clan  associates,responsible to finish legal task given by mr sudiman sidabukke eader of sidabukke clan associates such as studying case files to find the way to solve the problem and presented it to mr sudiman sidabukke drafting legal document that necessary for trial prepare everything that necessary for trial such as legal documents and evidences drafting legal opinion for clients drafting and reviewing client contracts accompanying clients and drafting legal warning,legal staff,0,2
137,restaurant,pt fg resto,handle ar ap,finance,3500000,0
144,social holding company  multiple company social,gereja bethany indonesia pt batumulia bumindo gereja bethany indonesia,maintance hardware and software networking editor bertanggung jawab atas jaringan di kantor utama gedung the east lt dan juga ketersediaan peralatan kantor yang berhungan dengan pekerjaan saya network development untuk area baliserver development untuk data terpusat bertanggung jawab atas semua jaringan survellience system data server web hosting ketersediaan atas peralatan penunjang kantor yang berhungan dengan pekerjaan saya saya memiliki rekanan yang baik terhadap beberapa vendor sebagai bahan pertimbangan saya bekerja pt galva technovision mice igsolusidan beberapa brand yang saya kuasai secara hardware maupun authorized supplier sony survellience system netgear synology etc,it staff it junior supervisor it senior,7100000,5
157,electronics,pt samsung electronics indonesia,bertanggung jawab di dalam pengelolaan dan pengembangan sumber daya manusia yaitu dalam hal perencanaan pelaksanaan dan pengawasan kegiatan sumber daya manusia termasuk pengembangan kualitasnya dengan berpedoman pada kebijaksanaan dan prosedur yang berlaku di perusahaan bertanggung jawab terhadap hal hal yang berkaitan dengan kegiatan kegiatan pembinaan government industrial serta mempunyai kewajiban memelihara dan menjaga citra perusahaan menyusun prosedur seleksi recruitment karyawan baru menyiapkan perjanjian kerja dan kontrak kerja karyawan serta mengupdate masa berlakunya kontrak kerja menginput data karyawan dan ke sistem agar semua terdata dengan baikmembuat laporan rekapitulasi mutasi promosi dan status karyawan tambahan anak menikah berhenti,hr,6000000,0
172,perbankan,pt bank central asia,handling complain nasabah memberikan solusi produk perbankan pembukaan rekening tabungan deposito,customer service,4600000,3
176,outsorcing,pt dutagriya sarana surabaya,membuat iklan lowongan di sosial media menerima lamaran masuk via email maupun langsung mensortir lamaran masuk sesuai dengan kebutuhan perusahaan lowongan yang ada membuat laporan atas lamaran yang masuk tiap minggunya membuat jadwal untuk psikotes interview memimpin jalannya psikotes menskoring hasil tes terkadang melakukan interview,staff recruitment,2200000,2
178,konsultan,pt metamind tata cendekia,melakukan analisis rekrutmen mempersiapkan keperluan training melakukan presentasi,asisten konsultan,4000000,1
189,education tourism real estate,bina bangsa school anemalou villa paradise property,handle incoming and outgoing calls send and receive letters documents etc prepare notes and reports for management and staff meetings supervise security cleaning and building maintenance teams assist foreign teachers as well as guests and parents manage all business related emails schedule and be available for business trips schedule attend and report on business meetings translate documents bahasa to english vise versa handle document legalities meet and interact with clients as owner representative assist management manage the administrative duties and property listings in website system organize new property listings collect legal documents and papers schedule meetings inspect properties and prepare marketing materials assist sales agents and clients during meetings and property inspections schedule and manage properties for open houses make weekly reports of sales activities assist sales agents,general admin personal assistant personal assistant,2566666,2
190,jasa,pt danamas insan kreasi andalan,,marketing,2600000,0
193,sport school,dbl academy,memegang social media milik dbl academy membuat konten sosial media milik mereka melakukab koordinasi dengan pr dan tim design dbl indonesia melakukan liputan,marketing communication,1500000,0
195,servicesphotography,cv beyond portrait,membuat layout album mengedit foto membuat socmed layout kebutuhan pameran,editor layouter,3300000,1
200,aesthetic clinic,cv duta ayu esther house of beauty,mencari karyawan baru yang sedang dibutuhkan perusahaan memposting iklan lowongan pekerjaan pada job portal perusahaan menyeleksi lamaran lamaran yang masuk sesuai kebutuhan perusahaan mempersiapkan segala kebutuhan yang diperlukan untuk interview dan psikotest seperti form interview data calon interviewee alat tes psikologi dan alat tulis yang digunakan saat psikotest memberikan instruksi penggunaan alat tes psikologi saat psikotest berlangsung melakukan skoring hasil psikotest merekap dan melakukan perpanjangan kontrak kerja karayawan yang telah habis jatuh tempo melakukan pendataan bagi karyawan yang telah lulus training perusahaan merekap surat ijin surat sakit dan surat cuti karyawan,staff hrd,3125000,0
202,perdagangan,pt persada makmur abadi,,purchasing,3250000,5
203,rumah sakit dinas sosial pusat alat bantu dengar,rumah sakit jiwa surakarta balai besar rehabilitasi sosial bina daksa bbrsbd surakarta pt kasoem hearing,memberikan tes psikologi berkaitan dengan kelengkapan rekrutmen perusahaansyarat pengajuan pilkadakondisi kejiwaan pasien siap pulang memberikan training kepada penyandang disabilitas menjadi pengajar bagi anak yang menggunakan alat bantu dengar,tester trainer terapis untuk anak,2733333,5
212,advertising,pt adhi kartika jaya jj promotion,menyajikan data pelengkap untuk keperluan marketing dan internal dan client melakukan komunikasi tindak lanjut kepada client sesuai instruksi marketing dan sop dan menjaga harmonisasi hubungan yang telah dijalin pihak perusahaan marketing dengan client terus menyajikan laporan update sesuai perjanjian yang telah tertulis antara pihat perusahaan dengan client bertanggung jawab untuk melakukan follow up penawaran po komplain dari client dan penagihan sejak terjalinnya hubungan kerjasama perusahaan marketing dan client menyajikan laporan aktivitas pantauan terhadap semua client kepada marketing,marketing support,2800000,2
238,hospital,rsu aminah blitar,rekrutmen wawancara alat tes psikologi skoring kontrak diklat pelatihan tna desain training ex in house absensi membuat sop jobdesk job spec dan lain lain terkait human resource,hrd,1600000,0
239,supplier granite,pt karya mitra maju bersama,saya sebagai admin impor bertugas untuk memastikan barang sampai di surabaya dengan cepat dan tepat waktu saya menyiapkan dokumen impor sebagai acuan perusahaan memasukkan barang dari china ke surabaya melalui kantor bea dan cukai mengurus segala yang diperlukan dari mulai mengisi form penerimaan barang impor do dari pelayaran dan lain lain,administration import,2700000,0
241,flexible packaging retail electronic ceramic distributor,cv indopack sejahtera pt best denki indonesia pt incomindo murni jaya,menerima permintaan barang dari pabrik tanya ke supplier tentang ketersediaan barang dan juga harga open po input barang yang sudah diterima oleh bagian gudang merekap jumlah hutang menerima nota tagihan dari supplier kemudian apabila sudah jatuh tempo mengajukan jadwal pembayaran kepada atasan kas kecil filling dokumen menerima permintaan barang dari sales menyeleksi permintaan barang berdasarkan ketersediaan stok dan penjualan mengajukan permintaan barang ke pusat follow up po yang sudah di buat ke supplier input surat jalan yang sudah diterima oleh pihak gudang ke sistem membuat laporan barang rusak dan laporan lain yang diperlukan follow up barang rusak dan hal hal yang berhubungan dengan merchandising membuat purchase retur menkoordinasikan dengan supplier untuk barang display stock yang kosong kemudian mengajukan po filling dokumen ,admin hutang dan pembelian spv admin buyer admin piutang,2900000,6
244,transportasi  logistik,ptgama intisamudera,,staff administrasi,4000000,6
249,education it,fakultas sains dan teknologi unair pt gerdhu inkubator teknologi,helping vice dean iii which cover the area of publications research and partnerships for faculty in terms of administrative tasks and assisting guest lecturers from overseas partner university doing administrative and clerical works such as cataloging and archiving documents responding to incoming correspondence managing schedules travel arrangement preparing meeting and taking notes of meeting,staff for vice dean iii secretary,2250000,0
251,human resources management,pt sumberdaya dian mandiri ,maintenance klien dan tenaga alih daya tad mengurusi bpjs kesehatan dan bpjs ketenagakerjaan tad visitting klien atau pengguna jasa sourching klien baru mengurus masalah terkait administrasi karyawan absen lembur berkas mengurus terkait perijinan ke dinas dinas terkait,account officer,4500000,0
255,industri  konstruksi industri hasil laut,pt wijaya karya industri  konstruksi pt kelola mina laut,menyusun bukti kas operasional kas kecil opersional hutang mandor suplier menyusun dan mengatur cash flow proyek menyusun laporan keuangan tiap periode akuntansi menyusun lampiran neraca menyusun laporan kas harian tiap mini plant menyusun dan memonitor nilai bahan baku gudang menyusun laporan keuangan tiap periode akuntansi menyusun laporan kinerja unit bisnis tiap periode,pjs kasie akuntansi keuangan spv akuntansi keuangan trainee,5840000,2
262,retail,gading murnipt,,administration staff,2700000,2
267,outsourcing,pt gos indoraya,setup troubleshooting maintenance hardware dan network,it support,3800000,1
268,agrikultural  perkebunan  peternakan unggas  perikanan retail  merchandise handphone hiburan  media  school music distributor,cv patria mandiri adhy cell yamaha music kc,pengadaan dan pengelolaan material yang meliputi pemesanan dan forecasting pemilihan pemasok pengendalian persediaan kalkulasi dan penetapan harga serta menjaga hubungan baik dengan pihak pihak terkait melakukan penjualan handphone aksesoris kartu selular dan pengisian pulsa sebagai marketing penjualan alat alat musik yamaha promosi saya harus lebih baik lagi sekaligus melakukan laporan harian mingguan dan bulanan melalui email disini tidak saja melakukan penjualan dan laporan stok di gudang pun merupakan pekerjaan yang saya kerjakan diperusahaan ini,staff purchasing karyawan sales marketing,1600000,1
271,trading electrical instrument mechanic,pt buana cahayatama,prepare tender documents do search for inquiry item looking for the best price comparison negotiate to get the best price plan winning bidding strategy,proposal engineer purchasing,3500000,1
273,outsoursche parking mall and convex,pt securindo packatama indonesia pt hardaya widya graha,bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm memeriksa dan mengontrol penjualan outlet menganalisa sales dari tenant yang termasuk kategori revenue sharing memeriksa dan mengontrol car park report tim support untuk event yang berlangsung di convexsebagai internal audit control,chief internal audit and business development manager finance supervisor,7750000,8
275,perbankan dan lembga keuangan,pt bank mandiri area surabaya gentengkali,menerima panggilan masuk dan keluarmenerima nasabah dan tamy untuk kepentingan bisnis,operator telepon receptionist,2600000,0
279,produsen teh villa software house erp,pt karya mas makmur pt orlansoft data system,membuat sistem penunjang kinerja perusahaan support error aplikasi yang terjadi di client,staff programmer application support,3250000,0
282,percetakan cat,pt aneka rupa tera pt putra mataram,menjual produk percetakan label mengntrol stok hasil produksi,sales staff ppic,2845000,0
287,pendidikan lembaga psikologi dan pengembangan sdm,smkn  malang pt media hati,bertanggung jawab pada kegiatan didalam kelas inklusi dan melaporkan perkembangan siswa kepada guru inklusi end to end proses psikotes mulai dari pembuatan proposal persiapan pelaksanaan hingga hasil yang siap diberikan kepada klien,intern staff psikologi,1750000,0
289,index forex it consultant,ptgatra mega berjankga ptmitra infosarana,awalnya saya sebagai admin setelah bulan saya diangkat untuk posisi audit internal berkunjung ke cabang malang kediri dan surabaya saya ditempatkan di it data center bank commonwealth tugas saya disana maintenance hardware server report to ibm if server error critical supervise vendor activity data center monitoring server fisik dan virtual restore data by user request management data it surabaya,staff principal it data center bank commonwealth,4500000,5
290,media  media media publishing agency,pt asatu perdana bangsa pt multi media internetindo pt haribima pandawa putra media pt inti marketing komunika,had to list and accommodated the journalists needs list their schedule per day in week and manage editorial meeting twice week wrote the summary and sent to all the editorial staff including the president director have to reported all of those things directly to the chief editor and to the president director was journalist in this company for year and then my level was up to field coordinator when was journalist had to go to the informant and collect the information about the main concern of our magazine of the month besides have to collect information for my responsibility to sent some news for the online media too and had to verified data and information that had to some parties in order to write great news when up to be the field coordinator have to manage the field journalist schedule and sent them to the different informant to filled our needs of information had to divided them by their incharge position too and report their works to the editor and chief editor had to collect criminal and law information per day to made news was placed in polda metro jaya and dpr had to go to the informants call them and collect every information as much as could and had to verified data and information that had to some parties in order to write great news got pitching brief company tender arranged the involved designer copywriter photographer schedule to make sure and aligning with the client needs ensured that all of the content is enough and the data is complete arranged client meeting schedule accomodated content revise aranged timeline start from the pre production pitching kick off meeting collecting data copywriting designing and revise process until the production process in company profile internal magazine company agenda calender annual report sustainability report gcg book,sekretaris redaksi jurnalis field coordinator jurnalis project officer account executive,4112500,4
295,perhotelan,pt aero hotel management,general cashierinput transaksi harian ar ap ke sistem saprekonsiliasi banklaporan rugi laba,accounting staff,4150000,7
301,supplier and trading softwareouse distribution cooking oil,cv persada bahari pt ittron global teknologi pt sari mas permai,memegang kas kecil melakukan penagihan kepada konsumen membuat faktur pajak melakukan pembayaran kepada supplier mematau dokumen legalisasi perusahaan membuat laporan keuangan bulanan dan mendukung serta bertanggugnjawab terhadap semua hal di bidang keuangan membuat juanal terhadap segala transaksi keuangan perusahaan dan memastikan transaksi yang di entri ke jurnal sudah akurat membuat anggaran dan perkiraan untuk tim manajemen melakukan penggajian untuk karyawan mengelola dan memantau huang piutang perusahaan memantau penghasilan dari transasksi retail online memantau dan meninjau akurasi dari tim purchasing dalam memenuhi permintaan penjualan online mengkoordinasi transaksi jual beli saham perusahaan melakukan pengurusan dan memantau dokumen dokumen legalisasi perusahaan membuat laporan keuangan bulanan dan mendukung serta bertanggugnjawab terhadap semua hal di bidang keuangan membuat juanal terhadap segala transaksi keuangan perusahaan dan memastikan transaksi yang di entri ke jurnal sudah akurat melakukan transaksi pembelian kepada supplier mengelola dan memantau hutang piutang perusahaan membuat laporan analisa umur piutang perusahaan melakukan stock opname terhadap stok barang yang ada di gudang melakukan koordinasi mengenai pengiriman barang membuat surat jalan dan tagihan beserta dengan faktur pajak kepada konsumen membuat pelaporan pph dan ppn,finance administration accounting and finance finance and accounting,5783333,1
304,mice tour and travel,kopi panas  pt marchsutta wijaya wisata,saya menjalin relasi dengan client dan follow up dengan client untuk project advertising seperti outdoor advertising billboard neon box saya melakukan kegiatan promosi melalui sosial media dan website dengan share project project yang sudah dilakukan oleh tim dari perusahaan kopi panas saya mencari client dari perusahaan swasta atau pemerintah untuk bekerjasama dan menggunakan jasa dari pt marchsutta wijaya wisata saya melakukan promosi dan membuat paket menarik yang saya share di sosial media untuk memikat customer baru,marketing internship freelance sales,1500000,0
306,asuransi kerugian travel umroh,pt asuransi adira dinamika pt madinah al munawaroh,membuat surat penawaranmerekap data customermembantu dan memonitor proses administrasi polis asuransi hingga polis jadi karena sentralisasi memberikan informasi yang dibutuhkan customermembantu proses administrasi keberangkatan jamaahmembuat surat penawaran,distribution admin customer relation officer,2850000,5
308,outsourcing,ptshelter group,bussiness developmentsales marketingoperationalhrd gahrd recruitment training,operational sales dan hrd,4500000,4
315,pemerintah,dinas pariwisata kab ngawi,,staf,1170000,0
317,education finance banking,stie perbanas surabaya kap subagyo  luthfi bank bjb kcp merr,help my lecture to handled the practice class and some research  ,lectures assistant internship junior auditor internship,1666666,2
320,konsultan konstruksi contraktor,pt maxitech utama indonesia pt nusa konstruksi enjiniring tbk,membantu chief inspector team leader dan mengawasi pelaksanaan pekerjaan dari aspek prosedur dan kuantitas pekerjaan berdasarkan dokumen kontrak melakukan pemeriksaan gambar kerja kontraktor berdasarkan gambar rencana serta memeriksa dan memberi ijin pelaksanaan pekerjaan kontraktor berhak menerima dan menolak hasil pekerjaan kontraktor berdasarkan spesifikasi teknis membuat laporan harian mengenai aktivitas kontraktor untuk kemajuan pekerjaan terdiri dari cuaca material yang dating masuk perubahan dan bentuk dan ukuran pekerjaan peralatan di lapangan kuantitas dari pekerjaan yang telah diselesaikan pengukuran di lapangan dan kejadian kejadian khusus membuat catatan lengkap tentang peralatan tenaga kerja dan material yang digunakan dalam setiap pekerjaan yang merupakan atau mungkin akan menjadi pekerjaan tambah extra mempelajari gambar dan spesifikasi teknik daftar kuantitas memastikan kelengkapan teknik gambar dan daftar kuantitas membandingkan spesifikasi teknik dengan gambar dan daftar kuantitas memperkirakan biaya awal berdasarkan gambar untuk tender menghitung biaya berdasarkan pekerjaan sejenis membandingkan antara realisasi dengan hasil perhitungan,inspektor estimator,4384270,0
325,perusahaan air,pdam kota malang,membuat aplikasi pendataan peserta magang di pdam kota malang aplikasi yang saya buat berbasis desktop menggunakan vb net dengan database mysql,magang di bagian sdm,0,0
326,distribution  trading,pt sutindo raya mulia,petty cash dan reimbursment lkh idr dan mata uang asing lainnya pembayaran supplier non dagang dan dagang menyesuaikan saldo bank administrasi perbankan untuk dokumen import dan customer dalam negri baik pinjaman maupun pelunasan bank garansi oaf dll bertanggung jawab in out cek giro,staff finance,3900000,0
329,media,pt jawa pos,menjual koran divisi spbu distribusi koran agen flow up penjualan dan mutasi koran,sales,2400000,0
330,property  real estate,pt yobelindo graha mandiri,rekrutment administrasi hr payroll kpi sop iso struktur skala upah ga demosi mutasi konseling training,hrd,4200000,0
333,asuransi perbankan,pt prudential life assurance pt bank panin tbk,memperkenalkan dan menawarkan produk asuransi kepada masyarakatmencari nasabah serta agent barumembangun hubungan baik dengan nasabah lama dan calon nasabah baru memperkenalkan dan menawarkan produk kredit mikro panin kepada masyarakatmencari nasabah kredit mikromembangun hubungan baik dengan nasabah lama dan calon nasabah barumembantu calon nasabah dalam proses pengajuan kredit mikro di bank panin,agent sales officer so,1750000,2
