JobID;JobTitle;DescriptionRequirement
13;project officer;membuat rab proyek yang akan dijalankan perusahaan yang mecakup spesifikasi volume bahan dan perhitungan nilai rupiahnya melakukan koordinasi dengan dept ga bagian pengadaan untuk update harga bahan bilamana ada bahan bahan baru yang diperlukan membuat bill of quantity internal untuk tender subcont menjalankan proyek membuat laporan realisasi proyek dan menganalisa laporan terhadap rab membuat detail project schedule proyek membuat progress report berasarkan dps selama berjalannya proyek dan melaporkan progress report kepada po melakukan perhitungan daya listrik yang dibutuhkan suatu lokasi reklame melakukan koordinasi dengan workshop subcont dept ga untuk pengadaan supply tenaga kerja bahan dan peralatan kerja melakukan koordinasi dengan dept pajak ijin ataupun pihak lain menguasai software autocad dan sap mampu menghitung rab dan skalatis secara teknis dapat mengendarai kendaraan bermotor
14;account executive (marketing);melakukan follow up atas semua penawaran yang telah diberikan kepada klien dalam tanggung jawab ae sampai dengan monitoring pekerjaan atas suatu order melakukan aktifitas penjualan kepada klien baru memeriksa isi dari surat penawaran yang akan dikirim ke klien dalam tanggung jawab ae serta memastikan penawaran tersebut sesuia dengan permintaan kebutuhan dari klien dan melakukan follow up secara baik dan benar menjalin komunikasi yang baik dengan klien dan mengakomidir request atau komplian dari klien membantu bagian collection dalam penagihan bilamana ada piutang yang bermasalah bad debt maupun piutang yang berpotenso bermasalah atas suatu pekerjaan atau order yang menjadi tanggung ae seminggu sekali membuat laporan progress kerja ae yang berisi klien mana saja yang sedang diproses usaha apa saja yang sudah dilakukan kartu nama yang diperoleh dari calon klien merepresentasikan perusahan dengan baik kepada pihak luar male female max th bachelor degree in marketing communication advertising have years experience in marketing actractive appearance and carries wide relation target oriented able to used microsoft office ready to work under pressure
15;driver;mempersiapkan mobil yang akan digunakan untuk kepeerluan kantor maupun tamu tamu kantor melakukan perawatan dan perbaikan mobil yang digunakan untuk keperluan kantor mengajukan kepada atasan jika perawatan perlu dilakukan oleh bengkel luar dan melaporkannya kepada atasn atas hasil perawatan perbaikan bengkel luar memeriksa tanggal jatuh tempo surat surat kendaraan seperti sim dan sntk mobil yang menjadi tanggung jawabnya menginformasikan kepada atas untuk persiapan pengurusannya mengantar dan mengambil surat barang lain ke dan dari pihak yang dituju memiliki sim mampu mengendarai kendaraan matic dan manual mengetahui protokol area jakarta jakarta pusat barat timur dan selatan berpengalaman mengendarai alphard memiliki smartphone terbiasa menggunakan aplikasi waze atau google maps bersedia bekerja lembur diutamakan berdomisili di daerah jakarta pusat
16;hrd staff;bertanggung jawab mengelola dan mengembangkan sumber daya manusia dalam hal ini termasuk perencanaan pelaksanaan dan pengawasan sumber daya manusia dan pengembangan kualitas sumber daya manusia membuat sistem hr yang efektif dan efisien misalnya dengan membuat sop job description training and development system dll bertanggung jawab penuh dalam proses rekrutmen karyawan mulai dari mencari calon karyawan wawancara hingga seleksi melakukan seleksi promosi transfering dan demosi pada karyawan yang dianggap perlu melakukan kegiatan pembinaan pelatihan dan kegiatan kegiatan yang berhubungan dengan pengembangan kemampuan potensi mental keterampilan dan pengetahuan karyawan yang sesuai dengan standar perusahaan bertangggung jawab pada hal yang berhubungan dengan absensi karyawan perhitungan gaji bonus dan tunjangan membuat kontrak kerja karyawan serta memperbaharui masa berlakunya kontrak kerja melakukan tindakan disipliner pada karyawan yang melanggar peraturan atau kebijakan perusahaan pendidikan psikologi hukum usia maksimal tahun pengalaman kerja minimal tahun dibidangnya menguasai implementasi peraturan ketenagakerjaan berpengalaman mengerjakan iso training menguasai proses rekruitment daftar lewat link recruitment warnawarni co id
17;account officer;bertanggung jawab melakukan support atas segala kebutuhan marketing bertanggung jawab menerima telpon masuk baik dari klien baru ataupun klien existing membuat penawaran harga untuk klien mengirimkan penawaran harga kepada klien melakukan follow up kepada klien mengelola segala kebutuhan promosi dan komunikasi baik hard maupun softcopy membuat materi keperluan marketing misalnya email blast korespondensi dengan klien dll melakukan support dalam administrasi tender melakukan pengklasifikasian dan menjaga data data memasukan data data ke sistem erp menjalin komunikasi yang baik dengan klien dan mempertahankan klien yang telah ada melakukan koordinasi dengan divisi lain yang terkait dengan kegiatan marketing misalnya maintenance melakukan pelaporan mengenai produk yang telah disewa digunakan oleh klien misalnya laporan foto billboard mengerjakan pekerjaan marketing administrasi dan kesekretarisan lainnya membuat laporan harian mengirimkan penawaran perpanjangan harga dan laki laki atau perempuan usia maksimal tahun komunikasi jurusan adertising lebih diutamakan memiliki kemampuan berkomunikasi yang baik service oriented menguasai microsoft office ms word ms excel dan ms power point mampu bekerja dibawah tekanan
19;maintenance electician;melakukan kegiatan perawan asset bangunan perusahaan secara periodik melakukan pengecekan stock bahan bakar solar untuk genset mengadakan penyemprotan nyamuk secara berkala melakukan electricity water drill untuk melakukan genset mengatur lift mengatur pompa air melakukan perbaikan apabila adanya kerusahan listrik lift dsb pria usia max tahun pendidikan min smk sederajat jurusan teknik elektro memiliki sim dan bersedia mobile memiliki pengetahuan mengenai arus kuat dan arus lemah pekerja keras jujur disiplin mampu bekerja dibawah tekanan ulet dan mau belajar
21;sales execuitve;sales executive for hotel gunawangsa merr female good looking experience in hospitality industry minimum year passionate loyal has good personality attitude willing to become key player in dynamic team and able to work as team able to work under pressure
22;engineering staff;becoming engineering staff at hotel gunawangsa merr graduate from electrical engineering with years minimum experiences in the same position preferable domicile in surabaya and surrounding areas good personality attitude teamwork passionate loyal willing to become key player in dynamic team able to work under pressure register yourself http recruitment warnawarni co id send cv to email
26;legal staff;membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya pendidikan minimal hukum lebih disukai usia maksimal tahun pengalaman kerja min th membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnya siap kerja under pressure penampilan menarik penempatan surabaya
27;legal supervisor;memahami dan mampu mempersiapkan persyaratan jual beli dan perikatan dengan bank dan sanggup melaksanakan prosesnya dalam hal ini bagian legal kerjasama dengan notaris ppat yang ditunjuk untuk melaksanakan jual beli dan melengkapi persyaratan akad kredit sesuai ketentuan bank kreditur mengkoordinir staf legal agar pekerjaan berjalan sesuai dengan arahan atasan mensupport dan mengelolah dokumen perusahaan khususnya yang berhubungan dengan perjanjian kerjasama maupun legal contract mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan melakukan tugas clerical secara umum termasuk tetapi tidak terbatas pada fotocopy faks surat menyurat dan filling dokumen menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya penyelesaian sengketa hukum perusahaan memahami dengan baik undang undang dan segala peraturan pertanahan hukum perpajakan dan peraturan yang berhubungan dengan pembangunan proyek properti pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun hukum pengalaman minimal tahun berpengalaman dibidang yang sama lebih disukai disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill sudah dapat dan join per tgl agustus
28;hrd;melakukan proses rekrutmen dari mulai sortir kandidat interview dan psikotes membuat laporan mingguan rekrutmen membuat kontrak awal maintain database hrd mendaftarkan karyawan baru bpjs kesehatan dan ketenagakerjaan usia maksimal tahun pendidikan minimal psikologi atau hukum pengalaman minimal tahun memahami proses rekrutmen dan seleksi karyawan alat tes psikologi mengerti pengurusan bpjs kesehatan dan ketenagakerjaan payroll pembuatan pkwt pkwtt lebih disukai memahami penanganan iso tegas disiplin ulet pekerja keras komunikatif mandiri mampu bekerja dibawah tekanan dapat mempelajari hal yang baru dengan cepat
29;admin it;melakukan administrasi web melakukan update terkait perbaruan perbaruan mengenai pt warna warni melalui media sosial melakukan administrasi secara online minimal management informatika berpengalaman mengenai administrasi web mampu menggunakan media sosial paham administrasi secara online paham mengenai jaringan internet paham mengenai cara merapihkan aset aset kantor
30;chief ga;mengerti dan memahami peraturan perundangan yang berlaku beserta proses pengurusannya termasuk melakukan pengurusan seluruh perijinan yang dibutuhkan perusahaan menjaga hubungan baik dengan lingkungan sekitar perusahaan dan dengan pemerintah daerah setempat mendukung seluruh kegiatan operasional kantor dengan melakukan proses pengadaan seluruh peralatan kebutuhan kerja seperti atk komputer meja kursi kerja ac dst maupun sarana atau fasilitas penunjang lain seperti kendaraan operasional office boy satpam operator telpon dst dengan cepat akurat berkualitas serta sesuai dengan anggaran yang ditentukan melakukan analisa kebutuhan anggaran atas pengadaan dan pemeliharaan seluruh fasilitas dan sarana penunjang aktivitas perusahaan untuk kemudian diajukan kepada bagian keuangan dan manajemen perusahaan untuk dianggarkan dan disetujui membuat menjalankan dan mengembangkan sistem kerja atau prosedur atas pengadaan dan pemeliharaan fasilitas penunjang kerja melakukan pencatatan dan pelaporan aset perusahaan mampu merencanakan jadwal pemeliharaan fasilitas perusahaan dan memperbaiki kerusakan merencanakan jadwal inspeksi aset perusahaan dan melaporkan ke departemen terkait menyiapkan laporan bulanan untuk keperluan rapat anggaran laporan keuangan atas aset dan beban biaya kantor usia maksimal tahun pendidikan minimal semua jurusan memimiliki pengalaman di posisi yang sama minuimal tahun mengerti tentang kelistrikan memiliki jaringan yang luas dengan vendor vendor perusahaan mampu bekerja dengan tim maupun individu jujur disiplin pekerja keras dan mampu bekerja dibawah tekanan memiliki inisiatif yang baik motivasi dan integritas yang tinggi
31;tenant relation;menjalin dan membina hubungan baik dengan semua penghuni baik pemilik maupun penyewa di gunawangsa apartment menerima keluhan dari penghuni baik tertulis maupun lisan dan menindaklanjuti setiap keluhan sampai tuntas sesuai dengan prosedur yang ada memahami dengan baik dan benar gunawangsa apartment house rules regulations serta perubahan perubahan ketentuan yang ada di dalamnya memahami dan menjalani semua prosedur prosedur yang ada melakukan kerjasama dan koordinasi dengan departemen departemen lain untuk dapat memberikan pelayanan yang terbaik kepada semua penghuni membantu chief tenant relation mendata kendaraan penghuni dan pengurusan sticker decal mendata semua karyawan penghuni dan perubahannya serta menyiapkan kartu identitas untuk karyawan penghuni membantu finance accounting department untuk mengingatkan penghuni atas keterlambatan pembayaran membantu chief tenant relation memonitor dan menyelia security dalam menjalankan tugas mereka membantu chief tenant relation memonitor cara kerja dan effektivitas kerja dari engineering membantu chief tenant relation menyiapkan sirkulasi edaran kepada penghuni dalam hal peraturan pemberitahuan dan lain lain setelah disetujui oleh building manager dan atau general manager membantu chief tenant relation membuat rencana tahunan untuk kegiatan kegiatan bersama dengan penghuni dan turut serta aktif dalam kepanitiaannya pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan semua jurusan pengalaman minimal tahun diposisi yang sama lebih diutamakan penampilan menarik menguasai microsoft office memiliki kemampuan komunikasi yang baik bertanggung jawab teliti jujur dan disiplin mampu berbahasa inggris sudah join per tgl oktober
32;cook resto;memasak orderan customer memastikan bahawa makanan yang disajikan rasanya sudah sesuai standar yang berlaku laki laki pengalaman sebagai cook minimal tahun memiliki jiwa pemimpin siap bekerja dibawah tekanan bertanggung jawab penuh terhadap aktifitas kitchen
33;barista resto;membuat kopi dan late art laki laki perempuan pengalaman sebagai barista min tahun mengetahui mengenai dasar dasar kopi bisa late art lebih diutamakan good looking kreatif pekerja keras dan disiplin
34;waiter / waitress resto;melakukan greeting kepada customer memberikan menu kepada customer melakukan order makanan menghidangkan makanan ke customer menerima kritikan dan saran dari customer laki laki perempuan usia maksimal tahun good looking kreatif pekerja keras dan disiplin komunikatif dan murah senyum
35;legal litigasi;menyusun surat somasi pengalaman mengikuti proses persidangan baik pidana maupun persidangan perdata pengalaman membuat laporan polisi usia min th dengan lulusan hukum menguasai bhs inggris mampu menyusun review legal letter lebih disukai memiliki pengalaman litigasi di pengadilan terbiasa menangani kasus penipuan dan penggelapan bisa memberikan second opinion kepada perusahaan ipk min skala tegas disiplin bertanggung jawab mampu bekerja secara tim atau individu siap bekerja dibawah tekanan memiliki sertifikat pendidikan khusus profesi advokat pkpa
36;accounting auditor senior;membahas dan menilai kebaikan dan ketepatan pelaksanaan pengendalian akuntansi keuangan serta operasi meyakinkan apakah pelaksanaan sesuai dengan kebijaksanaan rencana dan prosedur yang ditetapkan menyakinkan apakah kekayaan perusahaan organisasi dipertanggungjawabkan dengan baik dan dijaga dengan aman terhadap segala kemungkinan resiko kerugian menyakinkan tingkat kepercayaan akuntansi dan cara lainnya yang dikembangkan dalam organisasi menilai kwalitas pelaksanaan tugas dan tanggung jawab yang telah dibebankan usia maksimal tahun pendidikan minimal akuntansi ipk minimal pengalaman kerja tahun bisa membuat laporan keuangan berpengalaman sebagai audit lebih disukai penempatan surabaya tidak keberatan perjalalanan dinas ke jakarta
37;design graphic;membuat video slide gambar teks singkat untuk kebutuhan promosi di youtube membuat video kreatif berdurasi pendek sedang sesuai kebutuhan membuat mengedit video dari hasil shooting kamera sesuai kebutuhan menambahkan animasi pada hasil pembuatan hasil editan video membuat company profile yang unik dan kreatif usia maksimal tahun lulusan minimal bidang terkait fresh graduate boleh melamar untuk lulusan smu boleh melamar asalkan memiliki kelebihan lain misalnya selain membuat mengedit video juga jago desain grafis memahami dan menguasai berbagai software pembuatan video memiliki penglihatan yang baik dapat membedakan warna dengan baik mengerti secara jelas tentang ukuran layar video sesuai kebutuhan pemilihan warna dan penggunaan animasi yang tepat penampilan menarik rapi percaya diri aktif dan berinisiatif tinggi jujur bertanggung jawab dapat diandalkan pintar dan kreatif bisa bekerja cepat mandiri maupun bekerja sama dengan tim pribadi yang tangguh tidak gampang menyerah tidak suka komplain punya semangat kerja tinggi mampu bekerja dengan deadline yang ketat bersedia lembur jika ada tugas yang urgent kandidat yang memiliki kemampuan bahasa asing yang baik inggris mandarin akan diprioritaskan
38;english teacher;membuat laporan mengajar dan administrasi ke pihak management mengembangkan mensupervisi dan mengimplementasikan program yang berlaku mengikuti petunjuk mengajar yang berlaku melakukan evaluasi dan maintain perkembangan murid pengalaman tahun sebagai teacher di preschool fresh graduate boleh melamar latar belakang pendidikan pendidikan anak usia dini lebih di disukai bersedia bekerja di hari sabtu tertarik dengan anak anak mau mempelajari hal hal yang baru memiliki kemampuan komunikasi dengan bahasa inggris
39;admin general affair;melakukan administrasi berkas berkas ga melakukan check list driver laki laki atau perempuan maksimal usia th minimal pendidikan diploma atau sederajat setidaknya memiliki pengalaman tahun sebagai ga fresh graduate boleh melamar multi tasking dan mau belajar memiliki pengetahuan mengenai vehicle kendaraan memiliki kemampuan analisa dan administrasi yang baik siap bekerja dibawah tekanan
40;receptionist;menerima telepon menerima tamu mengantarkan tamu menerima surat surat yang masuk melakukan pengarsipan perempuan maksimal tahun memiliki pengalaman setidaknya tahun berpenampilan menarik smart memiliki kemampuan administrasi yang baik
41;staff research & development;melakukan analisa laki laki atau perempuan usia maksimal tahun memiliki kemampuan analisa yang kuat memiliki kemampuan negosiasi yang baik mampu bekerja dibawah tekanan bersedia bekerja mobile
43;web programmer;membuat aplikasi sesuai dengan kebutuhan perusahaan termasuk existing aplikasi mewujudkan desain web menjadi system yang berfungsi dengan baik usia maksimal tahun pendidikan teknik informatika ilmu komputer pengalaman minimal tahun dalam membangun aplikasi web menguasai pemograman php html my sql dll penempatan surabaya
44;sekretaris accounting;menyusun dan membuat laporan keuangan menyusun dan membuat laporan perpajakan perusahaan menyusun dan membuat anggaran pengeluaran perusahaan secara periodik menyusun dan membuat surat surat yang berhubungan dengan perbankan dan kemampuan keuangan perusahaan usia maksimal tahun pendidikan miimal akuntansi bisa membuat laporan keuangan pengalaman selama tahun dibidang yang sama penampilan menarik terbiasa bekerja dengan deadline cermat tekun detail teliti
45;executive secretary;becoming secretary for director of operations female good looking experience in hospitality industry minimum year passionate loyal has good personality attitude willing to become key player in dynamic team and able to work as team able to work under pressure
46;perencana proyek;membuat gambar kerja pelaksanaan membuat rencana anggaran biaya membuat rencana kerja dan syarat syarat pelaksanaan bangunan teknik sipil perencanaan menguasai analisa struktur dan perhitungan biaya menguasai program komputer autocad staadpro sap dan lain lain yang sejenis diutamakan pengalaman menangani proyek
47;senior accounting;membuat jalannya sistem dan prosedur akuntansi keuangan memonitor buku bank dan perubahan saldo setiap hari kerja mengawasi kegiatan harian akuntansi keuangan bulanan mengatur pelaksanaan perhitungan dan pembayaran pajak pajak ppn pph pbb memonitor penagihan utility service charge dan miscellaneous mengerjakan hal hal yang perlu mengenai keuangan akuntansi apabila diminta direksi atau apartment manager mengatur dan mengawasi cash flow membuat payment voucher dan giro serta transfer untuk pembayaran kepada supplier seteleh dokumen nya lengkap melakukan pembayaran untuk pln pdam pt telkom dan indosat serta pembayaran maintenance gedung menyiapkan memonitor dan mengevaluasi standard operation prosedur untuk departemen finance accounting bersama dengan building manager chief accounting memonitor tagihan setiap bulannya dan menangani surat menyurat penagihan sehari setelah jatuh tempo ii minggu setelah pemberitahuan pertama dan iii minggu setelah pemberitahuan kedua kepada residen yang tidak melakukan pembayaran tepat waktu membuat administrasi deposito berjangka mengawasi pelaksanaan pembelian pengadaan barang barang kebutuhan seluruh departemen mengecek kelengkapan dokumen yang diberikan purchasing sebelum dilakukan pembayaran seperti kwitansi materai faktur pajak surat jalan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan mencatat transaksi kas bank harian membuat rekonsiliasi bank membuat standing journal yang terdiri dari service charge income electricity water prepaid expenses depreciation accrued expenses cleaning service pln pam maintenance lift maintenance bunga adjustment dan correction mencatat dan memposting semua transaksi keuangan ke general ledger menyusun laporan keuangan membuat jurnal spt masa ppn membuat aging schedule menyiapkan data data dan schedule untuk kebutuhan audit melakukan hal hal yang perlu apabila diminta oleh building manager membuat administrasi faktur pajak keluaran membuat perencanaan dan pelaksanaan proses kpa untuk konsumen membuka kerjasama dengan berbagai bank sebagai partner developer menjaga hubungan baik dengan semua bank mitra melakukan komunikasi aktif dengan konsumen berkaitan dengan proses kpa membantu proses administrasi kpa pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan join per tgl november usia maksimal tahun pendidikan minimal akuntansi pengalaman minimal tahun dibidang property lebih diutamakan teliti dan detail oriented
48;executive housekeeping;becoming executive housekeeping for gunawangsa hotel merr male experience in hospitality industry and executive housekeeping or asst executive housekeeping min year has leader ability has good personality attitude willing to become key player in dynamic team and able to work as team
49;executive housekeeping;becoming executive housekeeping for gunawangsa hotel merr male experience in hospitality industry and executive housekeeping or asst executive housekeeping min year has leader ability has good personality attitude willing to become key player in dynamic team and able to work as team
50;senior marketing;mencari para calon klien yang prospektif mengembangkan dan merealisasikan rencana penjualan dan tergetnya melakukan penawaran harga dan negosiasi dengan klien dll usia maksimal tahun pendidikan minimal semua jurusan memiliki pengalaman bekerja minimal tahun dibidang yang sama memiliki networking yang luas penempatan surabaya
51;senior sekretaris ;membantu kelancaran pelaksanaan tugas pimpinan dalam melaksanakan kegiatan operasional perusahaan yaitu melaksanakan administratif surat menyurat dan pengarsipan melaksanakan persiapan bahan kerja melaksanakan pengaturan jadwal agenda kegiatan pimpinan melaksanakan notulensi dalam kegiatan rapat berkala pimpinan usia maksimal tahun pendidikan min sekretaris pengalaman kerja minimal tahun dibidang yang sama lebih disukai berpenampilan menarik sopan rapi inisiatif tinggi dan komunikatif mampu bekerja secara multitasking memiliki time task management yang baik mampu bekerja dengan target dan deadline pekerja keras dan tahan terhadap tekanan memiliki disiplin dan etika yang tinggi daftar lewat link recruitment warnawarni co id
52;hrd manager;memantau perkembangan pekerjaan masing masing personel melakukan promosi mutasi demosi mengelola dan menetapkan kebijakan kebijakan dalam perhitungan gaji upah lembur serta penyediaan fasilitas fasilitas bagi setiap karyawan perusahaan memeriksa kebenaran perhitungan gaji upah karyawan payroll serta menyiapkan pembayaran gaji karyawan sesuai ketentuan me maintain modul data informasi karyawan maintain data hardcopy karyawan maintan update dan kepesertaan asuransi terutama jamsostek bila ada anggota baru atau ada perubahan status dan koordinasi dengan pihak jamsostek laki laki perempuan maksimal usia tahun minimal pendidikan psikologi dengan minimal gpa setidaknya memiliki pengalaman tahun diposisi yang sama memimiliki pengetahuan proses hr familiar dengan uu ketenaga kerjaan dan prosedur hr memiliki kemampuan analisa dan leadership yang kuat memiliki kemampuan komunikasi yang baik memiliki pengetahuan microsoft office dan hris
53;hrd senior;membuat dan menetapkan kebijakan kebijakan dalam perhitungan gaji upah lembur serta penyediaan fasilitas bagi karyawan membuat dan memeriksa kebenaran perhitungan gaji upah karyawan melakukan proses bpjs dari mulai mendafatarkan mengurus dan menyiapkan pembayaran asuransi karyawan setiap bulannya maintain data karyawan laki laki perempuan maksimal tahun minimal pendidikan psikologi atau hukum pengalaman tahun di posisi yang sama mengetahui uud ketenaga kerjaan memahami proses bpjs memiliki pengalaman di bidang payroll lebih diutamakan memiliki kemampuan komunikasi negosiasi dan analisa yang baik
54;legal kontrak;membuat legal drafting membuat perjanjian kerja sama dengan client agency pendidikan hukum dengan minimal gpa memiliki kemampuan dibidang hukum memiliki kemampuan dalam legal drafting tegas dan bertanggung jawab mampu bekerja dibawah tekanan
55;finance & accounting;menerima pd dari pajak ijin mengecek lampiran pd maksimal usia th pendidikan akuntansi memiliki kemampuan dalam berkomunikasi negosiasi analisa dan team work pengalaman dibidan yang sama th
56;marketing communication;becoming marketing communication for corporate gunawangsa hotel indonesia good looking experience in hospitality industry minimum year passionate loyal has good personality attitude willing to become key player in dynamic team and able to work as team able to work under pressure
57;food and beverages manager;become asst food beverages manager at gunawangsa hotel merr male experience in hospitality industry at asst manager or supervisor at food beverages department min year has leader ability has good personality attitude willing to become key player in dynamic team and able to work as team
58;chief accounting;become chief accounting for gunawangsa hotel merr experience in hospitality industry has become chief accounting of asst chief accounting min year has leader ability has good personality attitude willing to become key player in dynamic team and able to work as team
59;collection & cashier staff;collection membuat debit note utility service charge dan tagihan lainnya sesuai dengan periode penagihan membuat daftar bagi residen yang tidak melakukan pembayaran dan memberikan kepada chief tenant relation untuk tindak selanjutnya pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan cashier menyimpan kas kecil menyiapkan tanda terima receipt atas pembayaran dari pemilik unit penyewa menyiapkan reimbursement kas kecil membuat jurnal receiving voucher membuat list deposit membuat faktur pajak sederhana pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan minimal akuntansi pengalaman minimal tahun di bidang property disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill detail oriented penempatan di surabaya sudah dapat auravita
60;legal staff;mensupport dan mengelolah dokumen perusahaan khususnya yang berhubungan dengan perjanjian kerjasama maupun legal contract mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan melakukan tugas clerical secara umum termasuk tetapi tidak terbatas pada fotocopy faks surat menyurat dan filling dokumen menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya penyelesaian sengketa hukum perusahaan melakukan update regulasi nasional maupun local khususnya yang terkait dengan perizinan perusahaan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan minimal hukum pengalaman minimal tahun di bidang property disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill penempatan di surabaya sudah dapat tanti novianti
61;leasing mall;melakukan koordinasi dengan departemen lain terkait dengan proses administrasi secara keuangan perjanjian sewa dan desain layout tenant leasing casual leasing bertanggung jawab terhadap pemenuhan okupansi mall memastikan perjanjian sewa menyewa selalu update membangun hubungan baik dengan tenant existing dan calon tenant penyewa serta menjembatani antara tenant dengan management mall memiliki jaringan luas dan follow up calon tenant yang akan mengisi unit kosong untuk disewakan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan minimal semua jurusan pengalaman minimal tahun di bidang mall disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill target oriented penempatan di surabaya kuota sudah terpenuhi
62;marketing communication for mall;membangun dan menjaga hubungan kerjasama dengan perusahaan media event organizer menyusun rencana dan jadwal pameran event dan mengorganisir event berkala menyediakan media promosi pada setiap penyelenggarakan pameran memonitor pelaksaan event memonitor tingkat kepuasan tenant dan pengunjung terhadap event dan pelayanan mall mengawasi mengendalikan dan mengevaluasi budget pelaksanaan event melakukan koordinasi dengan departmen lain agar event berjalan lancar pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan usia maksimal tahun pendidikan minimal semua jurusan pengalaman minimal tahun di bidang mall kreatif tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill penempatan di surabaya tidak jadi ada penambahan orang tetap posisi semula orang
63;sales executive;maintain customer need develop new customer attractive and presentable to customer female experience in handling social event corporate has good personality attitude willing to become the key player in dynamic team and able to work as team
