JobID,JobTitle,FunctionPositionName,EducationLevelName,CityName,ProvinceName,MajorName,Description,Requirement
2991,staf keuangan,akuntansi keuangan,s1,jakarta,dki jakarta,akuntansi,membuat laporan keuangan bertanggung jawab atas penyusunan invoice jadwal jatuh tempo pembayaran klien dan memastikan semua pembayaran sesuai jadwal menyusun pengajuan tagihan vendor secara rutin bisa mengatur prioritas pembayaran dan penagihan,usia max 35 tahun kandidat harus memiliki setidaknya gelar sarjana di keuangan akuntansi perbankan atau setara setidaknya memiliki 2 tahun pengalaman dalam bidangnya sesuai untuk posisi ini memiliki kemampuan komunikasi yang baik memiliki kemampuan administrasi yang baik jujur detail teliti dan bertanggung jawab dalam pekerjaan menguasai ms office
2994,spv bm-me,tukang listrik perawatan,SAYA,jakarta,dki jakarta,semua jurusan 2,melakukan kegiatan perawatan asset bangunan perusahaan secara periodik melakukan pengecekan stock bahan bakar solar untuk genset mengadakan penyemprotan nyamuk secara berkala melakukan electricity water drill untuk melakukan genset mengatur lift mengatur pompa air melakukan perbaikan apabila adanya kerusakan listrik lift dsb membuat laporan bulanan terkait kebutuhan bahan repair membuat jadwal perbaikan berkala,pria usia max 35 tahun pendidikan min d3 semua jurusan memiliki pengalaman min 3 th untuk posisi building maintenance memiliki sim dan bersedia mobile memiliki pengetahuan mengenai arus kuat dan arus lemah pekerja keras jujur disiplin mampu bekerja dibawah tekanan ulet dan mau belajar
2999,properti pemasaran,dukungan pemasaran,SAYA,surabaya,jawa timur,semua jurusan,membantu dalam menyusun rencana pemasaran setiap tahun dengan atasan menyimpan catatan tentang klien lama klien potensial dan profil mereka masing masing mengatur kunjungan rutin sesuai dengan rencana yang telah ditetapkan menyiapkan jadwal bulanan tentatif untuk mencatat semua penjualan dan aktivitas terkait lainnya untuk bulan sebelumnya memastikan bahwa semua klien baru tidak memiliki referensi kredit negatif mencatat semua penjualan harian mencatat statistik akun penjualannya menyerahkan laporan produksi pada daftar akunnya setiap bulan mempromosikan properti sesering mungkin melalui hiburan pelaksanaan inspeksi lokasi dan presentasi dll dari properti melakukan kunjungan ke mantan klien klien yang sudah ada dan klien potensial dalam rangka membuat kontrak dengan mereka terutama akun komersial menentukan dan merekomendasikan calon pelanggan dengan menganalisis informasi historis dan statistik lainnya partisipasi dalam melakukan wawancara pelanggan dan menyiapkan laporan analisis panggilan pelanggan mendefinisikan dengan tepat kebutuhan tamu dan memastikan bahwa layanan tamu yang ditawarkan sesuai secara efektif dengan permintaan mereka menyediakan after sales service dan khususnya untuk memastikan semua keluhan tamu ditanggapi dengan serius dan didiskusikan dengan departemen masing masing jika perlu menerima tamu penting yang ada di properti negosiasi harga dengan klien mengonfirmasi proposal lisan secara tertulis memastikan bahwa semua keluhan ditinjau diselidiki dan menindak lanjutinya mengumpulkan bisnis kelompok individu perjamuan dan fungsi lainnya secara langsung dan bersama sama dengan yang lain melalui persiapan dan pelaksanaan rencana tindakan menjaga hubungan kerja yang erat dengan orang orang profesional pers media karyawan klien tamu dan perusahaan yang merupakan pendukung potensial properti saat ini,pendidikan minimal 3 usia maksimal 30 tahun minimal pengalaman 1 tahun dibidang yang sama dapat berkomunikasi dengan baik cermat tekut ulet teliti terbiasa dengan deadline dapat bekerja dalam team berpenampilan menarik
3000,staf itu,dia,tidak ada,jakarta,dki jakarta,teknik informatika,bertanggungjawab pada kesiapan dan ketersediaan sistem komputer aplikasi dalam lingkungan perusahaan merancang mengelola dan mengawasi serta mengevaluasi operasional dan sistem informasi software dan aplikasi dan pendukungnya hardware infrastruktur telekomunikasi bertanggungjawab padapenyediaan layanan infrastruktur termasukaplikasi jaringankomputer lan wan keamanan teknologi informasi dan telekomunikais menangani trouble shooting dan jaringan hardware software,usia maksimal 35 tahun pendidikan min s1 teknik informatika teknik komputer menguasai networking wifi instalation trouble shooting pada pc dan peripheral lainnya mampu menggunakan microtik dhcp dns cctv dan wifi ubiquity mampu bekerja dengan team maupun mandiri
3029,sekretaris direksi,sekretaris direksi,s1,jakarta,dki jakarta,semua jurusan,"melakukan semua tugas sekretaris eksekutif untuk direktur yang mampu melakukan pekerjaan administrasi, memperhatikan perincian, menyediakan hal-hal sehari-hari yang mungkin termasuk kebutuhan pribadi, memberikan laporan dan risalah rapat, menjadwalkan janji temu, dan menjaga file rahasia, menangani korespondensi dengan klaim lokal dan lainnya seperti pemesanan ponsel dan mengatur transportasi perjalanan dan akomodasi menyelenggarakan acara dan konferensi mengetik menyusun dan menyiapkan laporan presentasi dan korespondensi melakukan tugas terkait lainnya sesuai kebutuhan",usia maksimal 30 tahun kandidat harus memiliki gelar sarjana dengan IPK min 3 00 minimal 2 tahun pengalaman fasih berbahasa inggris baik lisan maupun tulisan berpenampilan menarik dan keunggulan komunikasi interpersonal skill fast respon dan disiplin diri bersedia ditempatkan di jakarta pusat
3032,hukum staf,hukum,s1,jakarta,dki jakarta,hukum,menyusun surat somasi pengalaman mengikuti proses persidangan baik pidana maupun persidangan perdata pengalaman membuat laporan polisi menguasai hokum perikatan hukum perusahaan hukum bisnis hukum perusahaan menguasai peraturan perundang undangan di bidang advertising memiliki nilai tambah mampu membuat draft perjanjian dalam bahasa inggris lebih diutamakan menguasai legal review yaitu perjanjian dan non disclosure agreement mampu membuat konsep perjanjian secara terperinci jelas dan akurat yaitu perjanjian standard dan perjanjian non standard mampu membuat legal opinion terhadap suatu kasus dalam perjanjian mampu memonitoring perjanjian perjanjian di perusahaan mampu mengidentifikasi risiko dalam hokum bisnis pada setiap kerjasama memiliki kemampuan legal research,laki laki perempuan usia 24 30 th dengan lulusan s1 hukum ipk 3 00 menguasai bhs inggris menguasai hukum perdata secara umum lebih disukai memiliki pengalaman legal kontrak atu legal litigasi memiliki analisa yang kuat terhadap hukum perdata secara umum dan hukum kontrak secara khusus memiliki sertifikat pendidikan khusus profesi advokat pkpa tegas disiplin bertanggung jawab mampu bekerja secara tim atau individu siap bekerja dibawah tekanan
3033,tempat penitipan anak guru,guru,s1,jakarta,dki jakarta,semua jurusan,menyediakan lingkungan belajar yang aman memastikan area bermain tidur dan ganti pakaian tetap bersih mengajar anak melalui program pendidikan pengembangan yang direncanakan berpikir secara mandiri dan memenuhi kebutuhan setiap anak secara efisien menampilkan kepribadian yang sabar dan tenang serta pendekatan yang penuh kasih kepada setiap anak berkontribusi positif terhadap perilaku dan interaksi sosial anak membangun hubungan yang aman dengan anak anak membuat laporan kegiatan pengajaran memastikan komunikasi dengan orang tua berjalan dengan baik,bersedia bekerja jam 7 00 pagi 5 30 sore memiliki gelar s1 memiliki pengalaman menangani anak 1 5 6 tahun sabar penuh perhatian bekerja dengan bayi dan balita kemampuan komunikasi yang baik kreatif dan fleksibel semangat belajar baik dalam perencanaan dan pengorganisasia memiliki kemampuan komunikasi dengan bahasa inggris dapat bergabung secepatnya
3034,komunikasi pemasaran,komunikasi pemasaran,s1,jakarta,dki jakarta,semua jurusan,menerapkan rencana promosi mengatur acara promosi termasuk acara branding dan acara biasa yang akan mengoptimalkan citra merek dan penjualan membuat konten digital media sosial dan situs web mengembangkan kampanye pemasaran yang menarik untuk iklan mengelola semua acara dan kegiatan termasuk garis tanggal mulai jurnal tanggal pada semua komunikasi di subjek,kandidat harus memiliki setidaknya gelar sarjana dalam komunikasi massa atau setara setidaknya 1 tahun pengalaman kerja di bidang terkait diperlukan untuk posisi ini keahlian yang diperlukan spesialis konten media sosial lebih disukai staf non manajemen non supervisor khusus dalam komunikasi hubungan masyarakat atau setara
3035,guru bahasa mandarin,guru,s1,jakarta,dki jakarta,semua jurusan,mampu bekerja anak usia 2 6 tahun membuat laporan pengajaran dan administrasi kepada manajemen mengembangkan mengawasi dan melaksanakan program yang berlaku mengikuti petunjuk pengajaran yang berlaku mengevaluasi dan memelihara perkembangan siswa melakukan perencanaan mengajar dan menilai siswa,memiliki gelar dalam pendidikan sertifikasi bahasa mandarin akan menguntungkan lebih disukai lulus dari universitas cina taiwan keterampilan khusus min hsk 4 bahasa inggris harus 1 tahun pengalaman dalam mengajar anak-anak dapat bekerja dalam tim komunikatif dapat bergabung secepatnya
3045,pengawas akuntansi keuangan,akuntansi,tidak ada,surabaya,jawa timur,akuntansi,membuat jalannya sistem dan prosedur akuntansi keuangan memonitor buku bank dan perubahan saldo setiap hari kerja mengawasi kegiatan harian akuntansi keuangan bulanan mengatur pelaksanaan perhitungan dan pembayaran pajak pajak ppn pph pbb memonitor penagihan utility service charge dan miscellaneous mengerjakan hal hal yang perlu mengenai keuangan akuntansi apabila diminta direksi atau apartment manager mengatur dan mengawasi cash flow membuat payment voucher dan giro serta transfer untuk pembayaran kepada supplier seteleh dokumen nya lengkap melakukan pembayaran untuk pln pdam pt telkom dan indosat serta pembayaran maintenance gedung menyiapkan memonitor dan mengevaluasi standard operation prosedur untuk departemen finance accounting bersama dengan building manager chief accounting memonitor tagihan setiap bulannya dan menangani surat menyurat penagihan sehari setelah jatuh tempo ii 1 minggu setelah pemberitahuan pertama dan iii 1 minggu setelah pemberitahuan kedua kepada residen yang tidak melakukan pembayaran tepat waktu membuat administrasi deposito berjangka mengawasi pelaksanaan pembelian pengadaan barang barang kebutuhan seluruh departemen mengecek kelengkapan dokumen yang diberikan purchasing sebelum dilakukan pembayaran seperti kwitansi materai faktur pajak surat jalan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan mencatat transaksi kas bank harian membuat rekonsiliasi bank membuat standing journal yang terdiri dari service charge income electricity water prepaid expenses depreciation accrued expenses cleaning service pln pam maintenance lift maintenance bunga adjustment dan correction mencatat dan memposting semua transaksi keuangan ke general ledger menyusun laporan keuangan membuat jurnal spt masa ppn membuat aging schedule menyiapkan data data dan schedule untuk kebutuhan audit melakukan hal hal yang perlu apabila diminta oleh building manager membuat administrasi faktur pajak keluaran membuat perencanaan dan pelaksanaan proses kpa untuk konsumen membuka kerjasama dengan berbagai bank sebagai partner developer menjaga hubungan baik dengan semua bank mitra melakukan komunikasi aktif dengan konsumen berkaitan dengan proses kpa membantu proses administrasi kpa pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan,usia maksimal 38 tahun pendidikan minimal s1 akuntansi pengalaman bekerja sebagai supervisor accounting minimal 2 tahun bisa membuat laporan keuangan teliti tegas dan detail oriented
3047,asst manager leasing mall,pengembangan bisnis,s1,surabaya,jawa timur,semua jurusan,melakukan koordinasi dengan departemen lain terkait dengan proses administrasi secara keuangan perjanjian sewa dan desain layout tenant leasing casual leasing bertanggung jawab terhadap pemenuhan okupansi mall memastikan perjanjian sewa menyewa selalu update membangun hubungan baik dengan tenant existing dan calon tenant penyewa serta menjembatani antara tenant dengan management mall memiliki jaringan luas dan follow up calon tenant yang akan mengisi unit kosong untuk disewakan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan,usia maksimal 30 tahun pendidikan minimal s1 semua jurusan pengalaman minimal 1 tahun sebagai marketing leasing bidang mall disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill target oriented penempatan di surabaya
3048,sekretaris direksi,sekretaris direksi,tidak ada,surabaya,jawa timur,semua jurusan,,
3051,petugas akun eksekutif akun,eksekutif pemasaran,s1,jakarta,dki jakarta,semua jurusan,mencapai target penjualan dan pengembangan bisnis seperti yang dinyatakan dalam rencana penjualan tahunan menciptakan mempertahankan dan memperluas kontak dengan klien potensial mengamankan prospek klien baru yang akurat dengan melakukan segmentasi pasar dan menerapkan pendekatan organisasi yang berbeda dalam menargetkan dan memilih klien membangun hubungan pelanggan yang kuat dan membawa kemitraan pelanggan baru meneruskan inisiatif baru untuk perbaikan berkelanjutan dan analisis menang-kalah,usia maksimal 35 tahun pengalaman minimal 1 tahun di bidang terkait memiliki koneksi dan hubungan di bidang pemasaran mampu bekerja secara individu dan dalam tim kandidat harus memiliki setidaknya gelar sarjana bidang apa pun dengan ipk min 3 00 fasih berbahasa inggris baik lisan maupun tulisan Penampilan berpenampilan menarik dan keunggulan communication skill interpersonal fast respon dan disiplin diri bersedia ditempatkan di jakarta pusat jakarta pusat
3055,staf bm-saya,tukang listrik perawatan,SAYA,jakarta,dki jakarta,semua jurusan,melakukan kegiatan perawatan asset bangunan perusahaan secara periodik melakukan pengecekan stock bahan bakar solar untuk genset mengadakan penyemprotan nyamuk secara berkala melakukan electricity water drill untuk melakukan genset mengatur lift mengatur pompa air melakukan perbaikan apabila adanya kerusakan listrik lift dsb membuat laporan bulanan terkait kebutuhan bahan repair membuat jadwal perbaikan berkala,pria usia max 35 tahun pendidikan min d3 semua jurusan memiliki pengalaman min 3 th untuk posisi building maintenance memiliki sim dan bersedia mobile memiliki pengetahuan mengenai arus kuat dan arus lemah pekerja keras jujur disiplin mampu bekerja dibawah tekanan ulet dan mau belajar
3066,petugas proyek,petugas proyek,s1,jakarta,dki jakarta,teknik sipil,melakukan survei titik lokasi apabila akan dibangun konstruksi baru membuat perencanaan perhitungan gambar kerja dan time schedule rab cek stok material baru bekas bongkaran pengecekan hasil pekerjaan vendor mengecek bap melakukan control terhadap inventori titik reklame file gambar kajian kelayakan konstruksi bertannggung jawab atas pemakaian material sesuai rab mengawasi agar mutu hasil kerja sesuai dengan standar yang ditetapkan menguasai microsoft office autocad internet sketch up sap intermediate,kandidat harus memiliki setidaknya s1 semua jurusan lebih disukai jurusan teknik sipil arsitektur minimal memiliki 6 8 tahun pengalaman kerja di bidang yang sama bahasa inggris aktif menguasai microsoft office autocad internet sketch up sap intermediate cepat memahami sistem kerja di warna warni paham membaca gambar struktur rab kerja customer satisfaction oriented menguasai negotiation skill bersedia bekerja di bawah tekanan fast respon diluar jam kerja problem solving dan decision making mengenai teknik pekerjaan konstruksi sehat jasmani dan rohani sering bekerja di lapangan dapat bergabung secepatnya
3067,staff legal litigasi,hukum,buruk,surabaya,jawa timur,hukum,membuat legal opinion dalam setiap case yang sedang di hadapi perusahaan mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya penyelesaian sengketa hukum perusahaan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan,usia maksimal 35 tahun pendidikan s2 hukum lebih diutamakan pengalaman minimal 2 tahun sebagai legal supervisor koordinator legal berpengalaman di perusahaan property lebih diutamakan tegas target oriented memiliki sertifikat peradi advokat disiplin tanggung jawab jujur inisiatif komunikatif dan mempunyai presentation skill
3069,kepala akuntansi,kepala akuntansi,s1,surabaya,jawa timur,akuntansi,usia maksimal 38 tahun pendidikan minimal s1 akuntansi pengalaman bekerja sebagai supervisor accounting 2 tahun sebelumnya teliti tegas dan detail oriented,membuat jalannya sistem dan prosedur akuntansi keuangan memonitor buku bank dan perubahan saldo setiap hari kerja mengawasi kegiatan harian akuntansi keuangan bulanan mengatur pelaksanaan perhitungan dan pembayaran pajak pajak ppn pph pbb memonitor penagihan utility service charge dan miscellaneous mengerjakan hal hal yang perlu mengenai keuangan akuntansi apabila diminta direksi atau apartment manager mengatur dan mengawasi cash flow membuat payment voucher dan giro serta transfer untuk pembayaran kepada supplier seteleh dokumen nya lengkap melakukan pembayaran untuk pln pdam pt telkom dan indosat serta pembayaran maintenance gedung menyiapkan memonitor dan mengevaluasi standard operation prosedur untuk departemen finance accounting bersama dengan building manager chief accounting memonitor tagihan setiap bulannya dan menangani surat menyurat penagihan sehari setelah jatuh tempo ii 1 minggu setelah pemberitahuan pertama dan iii 1 minggu setelah pemberitahuan kedua kepada residen yang tidak melakukan pembayaran tepat waktu membuat administrasi deposito berjangka mengawasi pelaksanaan pembelian pengadaan barang barang kebutuhan seluruh departemen mengecek kelengkapan dokumen yang diberikan purchasing sebelum dilakukan pembayaran seperti kwitansi materai faktur pajak surat jalan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan mencatat transaksi kas bank harian membuat rekonsiliasi bank membuat standing journal yang terdiri dari service charge income electricity water prepaid expenses depreciation accrued expenses cleaning service pln pam maintenance lift maintenance bunga adjustment dan correction mencatat dan memposting semua transaksi keuangan ke general ledger menyusun laporan keuangan membuat jurnal spt masa ppn membuat aging schedule menyiapkan data data dan schedule untuk kebutuhan audit melakukan hal hal yang perlu apabila diminta oleh building manager membuat administrasi faktur pajak keluaran membuat perencanaan dan pelaksanaan proses kpa untuk konsumen membuka kerjasama dengan berbagai bank sebagai partner developer menjaga hubungan baik dengan semua bank mitra melakukan komunikasi aktif dengan konsumen berkaitan dengan proses kpa membantu proses administrasi kpa pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan
3071,staf hukum,hukum,s1,surabaya,jawa timur,hukum,membuat legal opinion dalam setiap case yang sedang di hadapi perusahaan mereview legal contract perjanjian kerjasama dan dokumen legal lain yang berhubungan dengan project perusahaan dimana ditempatkan menguasai pembuatan dan review surat perjanjian beserta monitoring validitasnya penyelesaian sengketa hukum perusahaan pekerjaan lainnya yang ditugaskan secara khusus oleh perusahaan,usia maksimal 35 tahun memiliki pengalaman beracara bersidang khususnya di bidang hukum perusahaan pendidikan minimal s1 hukum s2 lebih disukai pengalaman kerja minimal 2 tahun dibidangnya memiliki kta atau sudah pernah mengambil pkpa
3073,staf auditor,akuntansi keuangan,s1,surabaya,jawa timur,akuntansi,melakukan audit operasional membuat hasil laporan audit melakukan analisa dan pemecahan masalah terkait internal audit memeriksa seluruh transaksi keuangan di perusahaan sesuai sop finance memeriksa audit inventory dan fixed assest melakukan kontrol terhadap pelaksanaan sistem dan prosedur perusahaan,usia maksimal 35 tahun pendidikan minimal s1 akuntansi memiliki pengetahuan terkait internal auditing mampu untuk mengadministrasikan data memiliki pengalaman sebagai auditor minimal 1 tahun lebih disukai disiplin bertanggung jawab jujur inisiatif tinggi dan komunikatif detail target oriented
3074,staf teknik,staf teknik,smk,surabaya,jawa timur,teknik sipil,handle pekerjaan electrical me dan sipil pengalaman mengerjakan maintenance ac dan lift lebih diutamakan pengalaman sebagai engineering mall apartment lebih diutamakan mampu mengerjakan kerusakan pada genset,usia maksimal 30 tahun pendidikan minimal smk jurusan teknik pengalaman minimal 1 tahun di apartment hote mall tanggung jawab jujur inisiatif komunikatif dan bersedia bekerja shift service oriented bersedia bekerja shift penempatan di surabaya
3076,akuntansi senior,akuntansi keuangan,tidak ada,surabaya,jawa timur,akuntansi,membuat jurnal maupun laporan keuangan mengawasi transaksi keuangan membuat rekonsiiliasi data keuangan monitoring data keuangan perusahaan melakukan pekerjaan yang diinstruksikan oleh pimpinan,usia maksimal 35 tahun pendidikan minimal d3 akuntansi ipk minimal 3 00 mempunyai pengalaman kerja minimal 3 tahun terbiasa dengan laporan keuangan audit dan perpajakan mahir dalam menggunakan microsoft office software accounting dan erp
3081,urusan umum staf senior,urusan Umum,tidak ada,jakarta,dki jakarta,semua jurusan,bertanggung jawab untuk administrasi kantor sehari hari dan tugas tugas yang akan berurusan dengan hal hal rahasia pendampingan kepada hr ga manager untuk urusan umum dan administrasi mendukung dan memaksimalkan efisiensi tugas divisi mengurus manajemen fasilitas pemeliharaan perlengkapan kantor aset kantor pengadaan dan pengendalian inventaris alat tulis kantor aset kantor dan ruang rapat manajemen perkantoran untuk memastikan tampilan keseluruhan area kantor yang nyaman mengelola dan mengurus dokumen pendukung terkait ga seperti koordinasi sertifikasi k3 dll pengaturan dukungan karyawan yang diperlukan sewa pengaturan perjalanan dll penyusunan acara internal bekerja sama dengan departemen sdm kelola koordinasikan dan dukung tim ga mengelola kebersihan pemeliharaan kesehatan dan keselamatan kantor secara keseluruhan mengevaluasi dan juga membangun hubungan baik dengan semua vendor dan manajemen gedung,kandidat harus memiliki setidaknya gelar sarjana di bidang apapun laki laki maksimal usia 30 tahun multitasking dan mau belajar memiliki pengetahuan mengenai vehicle kendaraan memiliki sim setidaknya 3 tahun pengalaman kerja di bidang terkait diperlukan untuk posisi ini keterampilan yang diperlukan microsoft office analitis lebih disukai supervisor koordinator khusus dalam pembelian inventaris material manajemen gudang atau setara keterampilan analitis dan komunikasi yang kuat dapat bekerja dibawah tekanan performa bagus dengan pengawasan rendah bisa bergabung secepatnya
3083,itu mendukung,dia,tidak ada,surabaya,jawa timur,teknik informatika,bertanggungjawab pada kesiapan dan ketersediaan sistem komputer aplikasi dalam lingkungan perusahaan merancang mengelola dan mengawasi serta mengevaluasi operasional dan sistem informasi software dan aplikasi dan pendukungnya hardware infrastruktur telekomunikasi bertanggungjawab padapenyediaan layanan infrastruktur termasuk aplikasi jaringan komputer lan wan keamanan teknologi informasi dan telekomunikasi menangani trouble shooting dan jaringan hardware software,usia maksimal 35 tahun pendidikan minimal d3 informatika teknik komputer pengalaman minimal 1 tahun dibidang yang sama memahami konsep networking jaringan server client menguasai instalation trouble shooting pada pc dan peripheral lainnnya pengalaman di maintenance diutamakan
