ApplicantID;Position;JobDescription
104;hrd staff;pt artha permai kencana sebagai hrd staff job description legal kontrak pkwt pkwtt kontrak fasilitas kantor dsb perjanjian kerjasama dengan pihak ketiga outshourching dsb pemutusan hubungan kerja mutasi demosi dsb perencanaan dan revisi peraturan perusahaan pengembangan sumber daya manusia perencanaan dan pelaksanaan kpi key performance indicator perencanaan dan pelaksanaan training untuk sdm dari internal maupun eksternal termasuk mempersiapkan pemesanan akomodasi transportasi dsb pelaksanaan dan pengawasan kegiatan karyawan olah raga yoga badminton futsal wisata outbound leaders meeting dsb menyusun standard operating procedure untuk divisi hrd hrd security ob guest relation dan berkoordinasi untuk sop divisi lain mengevaluasi kinerja divisi melalui evaluasi hasil analisa data sesuai dengan sasaran mutu yang telah disepakati dengan pihak manajemen membuat action plan dari evaluasi hasil analisa data sebelumnya rekrutmen pemasangan iklan koran universitas job fair disnaker website perusahaan jobstreet dsb proses seleksi sortir surat lamaran kerja sesuai dengan kriteria yang dibutuhkan interview tes disc dan penyampaian beberapa psikotes dsb penyusunan dan penjadwalan new employ orientation administrasi laporan absensi perhitungan gaji harian lembur bonus pengiriman uang cuti thr dsb pembuatan aturan dan pengaturan peminjaman mobil permintaan peminjaman pengawasan gps pemakaian bahan bakar klaim biaya perjalanan fasilitas karyawan jatah pulsa bensin sewa kendaraan transportasi dsb penyusunan jadwal kerja ob check list kebersihan pengaturan shift security asuransi karyawan bpjs kesehatan dan bpjs ketenagakerjaan pendaftaran penambahan anggota keluarga pengakhiran pencetakan kartu proses klaim pengarahan dan sosialisasi kepada karyawan mengenai manfaat dan cara penggunaan fasilitas secara maksimal proses klaim asuransi lain misal prudential dan axa
107;estimator, drafter, ass manager;
119;purchasing staff purchasing staff;
124;staff operasional / legal staff operasional / legal staff operasional / legal staff operasional / legal manager operasional / legal manager operasional / legal manager operasional / legal manager operasional / legal operasional / legal ship operasional / legal ship operasional / legal ship operasional / legal ship;pengurusan perijinan perusahaan pelaporan bulan ke kementrian esdm terkait penjualan bbm pelaporan stock bbm bahan bakar minyak kapal pengawasan dokumen kapal pelaporan docking kapal perawatan kapal pegawasan abk kapal penyelesaian masalah hukum legal pada perusahaan pengarsipan dokumen pengurusan perijinan perusahaan pelaporan bulan ke kementrian esdm terkait penjualan bbm pelaporan stock bbm bahan bakar minyak kapal pengawasan dokumen kapal pelaporan docking kapal perawatan kapal pegawasan abk kapal penyelesaian masalah hukum legal pada perusahaan pengarsipan dokumen pengurusan perijinan perusahaan pelaporan bulan ke kementrian esdm terkait penjualan bbm pelaporan stock bbm bahan bakar minyak kapal pengawasan dokumen kapal pelaporan docking kapal perawatan kapal pegawasan abk kapal penyelesaian masalah hukum legal pada perusahaan pengarsipan dokumen pengurusan perijinan perusahaan pelaporan bulan ke kementrian esdm terkait penjualan bbm pelaporan stock bbm bahan bakar minyak kapal pengawasan dokumen kapal pelaporan docking kapal perawatan kapal pegawasan abk kapal penyelesaian masalah hukum legal pada perusahaan pengarsipan dokumen pengurusan perijinan perusahaan pengawasan pengiriman bbm pelaporan bulan ke kementrian esdm terkait pengiriman bbm recruitment driver perawatan armada truck tanki pengawasan stock bbm pengurusan perijinan perusahaan pengawasan pengiriman bbm pelaporan bulan ke kementrian esdm terkait pengiriman bbm recruitment driver perawatan armada truck tanki pengawasan stock bbm pengurusan perijinan perusahaan pengawasan pengiriman bbm pelaporan bulan ke kementrian esdm terkait pengiriman bbm recruitment driver perawatan armada truck tanki pengawasan stock bbm pengurusan perijinan perusahaan pengawasan pengiriman bbm pelaporan bulan ke kementrian esdm terkait pengiriman bbm recruitment driver perawatan armada truck tanki pengawasan stock bbm pengurusan perijinan perusahaan pengurusan perijinan keberangkatan kapal pengawasan perawatan armada kapal pembuatan daftar gaji dan premi terhadap abk pengawasan stock bbm kapal pemberian sanksi terhadap abk recruitment abk pengawasan muatan kapal penyandaran kapal pengurusan perijinan perusahaan pengurusan perijinan keberangkatan kapal pengawasan perawatan armada kapal pembuatan daftar gaji dan premi terhadap abk pengawasan stock bbm kapal pemberian sanksi terhadap abk recruitment abk pengawasan muatan kapal penyandaran kapal pengurusan perijinan perusahaan pengurusan perijinan keberangkatan kapal pengawasan perawatan armada kapal pembuatan daftar gaji dan premi terhadap abk pengawasan stock bbm kapal pemberian sanksi terhadap abk recruitment abk pengawasan muatan kapal penyandaran kapal pengurusan perijinan perusahaan pengurusan perijinan keberangkatan kapal pengawasan perawatan armada kapal pembuatan daftar gaji dan premi terhadap abk pengawasan stock bbm kapal pemberian sanksi terhadap abk recruitment abk pengawasan muatan kapal penyandaran kapal
128;freelance crew freelance crew freelance crew freelance crew freelance marketing  freelance marketing  freelance marketing  freelance marketing ;mempromosikan sebuah event dan exhibition bertugas membangun relasi dengan pihak kedua serta membangun konten dalam penyelenggaraan acara secara langsung mempromosikan beberapa program acara dari media sosial maupun yang lain mengecheck dan memfasilitasi stand peserta menjadi leader organiser artis mempromosikan sebuah event dan exhibition bertugas membangun relasi dengan pihak kedua serta membangun konten dalam penyelenggaraan acara secara langsung mempromosikan beberapa program acara dari media sosial maupun yang lain mengecheck dan memfasilitasi stand peserta menjadi leader organiser artis mempromosikan sebuah event dan exhibition bertugas membangun relasi dengan pihak kedua serta membangun konten dalam penyelenggaraan acara secara langsung mempromosikan beberapa program acara dari media sosial maupun yang lain mengecheck dan memfasilitasi stand peserta menjadi leader organiser artis mempromosikan sebuah event dan exhibition bertugas membangun relasi dengan pihak kedua serta membangun konten dalam penyelenggaraan acara secara langsung mempromosikan beberapa program acara dari media sosial maupun yang lain mengecheck dan memfasilitasi stand peserta menjadi leader organiser artis perusahaan bergerak dalam bidang general kontraktor bertugas melaksanakan serta memastikan dokumen administrasi sesuai persyaratan teknis untuk pre qualification melakukan monitoring proses tender yang sedang berlangsung mempersiapkan dokumen tender sesuai kebutuhan dan jadwal pemasukan dokumen perusahaan bergerak dalam bidang general kontraktor bertugas melaksanakan serta memastikan dokumen administrasi sesuai persyaratan teknis untuk pre qualification melakukan monitoring proses tender yang sedang berlangsung mempersiapkan dokumen tender sesuai kebutuhan dan jadwal pemasukan dokumen perusahaan bergerak dalam bidang general kontraktor bertugas melaksanakan serta memastikan dokumen administrasi sesuai persyaratan teknis untuk pre qualification melakukan monitoring proses tender yang sedang berlangsung mempersiapkan dokumen tender sesuai kebutuhan dan jadwal pemasukan dokumen perusahaan bergerak dalam bidang general kontraktor bertugas melaksanakan serta memastikan dokumen administrasi sesuai persyaratan teknis untuk pre qualification melakukan monitoring proses tender yang sedang berlangsung mempersiapkan dokumen tender sesuai kebutuhan dan jadwal pemasukan dokumen
134;legal staff;responsible to finish legal task given by mr sudiman sidabukke eader of sidabukke clan associates such as studying case files to find the way to solve the problem and presented it to mr sudiman sidabukke drafting legal document that necessary for trial prepare everything that necessary for trial such as legal documents and evidences drafting legal opinion for clients drafting and reviewing client contracts accompanying clients and drafting legal warning
144;it staff it junior supervisor it senior;maintance hardware and software networking editor bertanggung jawab atas jaringan di kantor utama gedung the east lt dan juga ketersediaan peralatan kantor yang berhungan dengan pekerjaan saya network development untuk area bali server development untuk data terpusat bertanggung jawab atas semua jaringan survellience system data server web hosting ketersediaan atas peralatan penunjang kantor yang berhungan dengan pekerjaan saya saya memiliki rekanan yang baik terhadap beberapa vendor sebagai bahan pertimbangan saya bekerja pt galva technovision mice igsolusi dan beberapa brand yang saya kuasai secara hardware maupun authorized supplier sony survellience system netgear synology etc
157;hr;bertanggung jawab di dalam pengelolaan dan pengembangan sumber daya manusia yaitu dalam hal perencanaan pelaksanaan dan pengawasan kegiatan sumber daya manusia termasuk pengembangan kualitasnya dengan berpedoman pada kebijaksanaan dan prosedur yang berlaku di perusahaan bertanggung jawab terhadap hal hal yang berkaitan dengan kegiatan kegiatan pembinaan government industrial serta mempunyai kewajiban memelihara dan menjaga citra perusahaan menyusun prosedur seleksi recruitment karyawan baru menyiapkan perjanjian kerja dan kontrak kerja karyawan serta mengupdate masa berlakunya kontrak kerja menginput data karyawan dan ke sistem agar semua terdata dengan baik membuat laporan rekapitulasi mutasi promosi dan status karyawan tambahan anak menikah berhenti
172;customer service customer service;handling complain nasabah memberikan solusi produk perbankan pembukaan rekening tabungan deposito handling complain nasabah memberikan solusi produk perbankan pembukaan rekening tabungan deposito
176;staff recruitment;membuat iklan lowongan di sosial media menerima lamaran masuk via email maupun langsung mensortir lamaran masuk sesuai dengan kebutuhan perusahaan lowongan yang ada membuat laporan atas lamaran yang masuk tiap minggunya membuat jadwal untuk psikotes interview memimpin jalannya psikotes menskoring hasil tes terkadang melakukan interview
178;asisten konsultan;melakukan analisis rekrutmen mempersiapkan keperluan training melakukan presentasi
189;general admin personal assistant personal assistant;handle incoming and outgoing calls send and receive letters documents etc prepare notes and reports for management and staff meetings supervise security cleaning and building maintenance teams assist foreign teachers as well as guests and parents manage all business related emails schedule and be available for business trips schedule attend and report on business meetings translate documents bahasa to english vise versa handle document legalities meet and interact with clients as owner representative assist management manage the administrative duties and property listings in website system organize new property listings collect legal documents and papers schedule meetings inspect properties and prepare marketing materials assist sales agents and clients during meetings and property inspections schedule and manage properties for open houses make weekly reports of sales activities assist sales agents
193;marketing communication;memegang social media milik dbl academy membuat konten sosial media milik mereka melakukab koordinasi dengan pr dan tim design dbl indonesia melakukan liputan
195;editor layouter;membuat layout album mengedit foto membuat socmed layout kebutuhan pameran
202;purchasing;
203;tester trainer terapis untuk anak;memberikan tes psikologi berkaitan dengan kelengkapan rekrutmen perusahaan syarat pengajuan pilkada kondisi kejiwaan pasien siap pulang memberikan training kepada penyandang disabilitas menjadi pengajar bagi anak yang menggunakan alat bantu dengar
212;marketing support;menyajikan data pelengkap untuk keperluan marketing dan internal dan client melakukan komunikasi tindak lanjut kepada client sesuai instruksi marketing dan sop dan menjaga harmonisasi hubungan yang telah dijalin pihak perusahaan marketing dengan client terus menyajikan laporan update sesuai perjanjian yang telah tertulis antara pihat perusahaan dengan client bertanggung jawab untuk melakukan follow up penawaran po komplain dari client dan penagihan sejak terjalinnya hubungan kerjasama perusahaan marketing dan client menyajikan laporan aktivitas pantauan terhadap semua client kepada marketing
238;hrd;rekrutmen wawancara alat tes psikologi skoring kontrak diklat pelatihan tna desain training ex in house absensi membuat sop jobdesk job spec dan lain lain terkait human resource
239;administration import administration import administration import;saya sebagai admin impor bertugas untuk memastikan barang sampai di surabaya dengan cepat dan tepat waktu saya menyiapkan dokumen impor sebagai acuan perusahaan memasukkan barang dari china ke surabaya melalui kantor bea dan cukai mengurus segala yang diperlukan dari mulai mengisi form penerimaan barang impor do dari pelayaran dan lain lain saya sebagai admin impor bertugas untuk memastikan barang sampai di surabaya dengan cepat dan tepat waktu saya menyiapkan dokumen impor sebagai acuan perusahaan memasukkan barang dari china ke surabaya melalui kantor bea dan cukai mengurus segala yang diperlukan dari mulai mengisi form penerimaan barang impor do dari pelayaran dan lain lain saya sebagai admin impor bertugas untuk memastikan barang sampai di surabaya dengan cepat dan tepat waktu saya menyiapkan dokumen impor sebagai acuan perusahaan memasukkan barang dari china ke surabaya melalui kantor bea dan cukai mengurus segala yang diperlukan dari mulai mengisi form penerimaan barang impor do dari pelayaran dan lain lain
241;admin hutang dan pembelian spv. admin buyer admin piutang;menerima permintaan barang dari pabrik tanya ke supplier tentang ketersediaan barang dan juga harga open po input barang yang sudah diterima oleh bagian gudang merekap jumlah hutang menerima nota tagihan dari supplier kemudian apabila sudah jatuh tempo mengajukan jadwal pembayaran kepada atasan kas kecil filling dokumen menerima permintaan barang dari sales menyeleksi permintaan barang berdasarkan ketersediaan stok dan penjualan mengajukan permintaan barang ke pusat follow up po yang sudah di buat ke supplier input surat jalan yang sudah diterima oleh pihak gudang ke sistem membuat laporan barang rusak dan laporan lain yang diperlukan follow up barang rusak dan hal hal yang berhubungan dengan merchandising membuat purchase retur menkoordinasikan dengan supplier untuk barang display stock yang kosong kemudian mengajukan po filling dokumen
244;staff administrasi;
249;staff for vice dean iii;helping vice dean iii which cover the area of publications research and partnerships for faculty in terms of administrative tasks and assisting guest lecturers from overseas partner university
255;pjs. kasie akuntansi & keuangan spv akuntansi & keuangan trainee;menyusun bukti kas operasional kas kecil opersional hutang mandor suplier menyusun dan mengatur cash flow proyek menyusun laporan keuangan tiap periode akuntansi menyusun lampiran neraca menyusun laporan kas harian tiap mini plant menyusun dan memonitor nilai bahan baku gudang menyusun laporan keuangan tiap periode akuntansi menyusun laporan kinerja unit bisnis tiap periode
262;administration staff;
267;it support it support it support it support it support;setup troubleshooting maintenance hardware dan network setup troubleshooting maintenance hardware dan network setup troubleshooting maintenance hardware dan network setup troubleshooting maintenance hardware dan network setup troubleshooting maintenance hardware dan network
268;staff purchasing staff purchasing karyawan karyawan;pengadaan dan pengelolaan material yang meliputi pemesanan dan forecasting pemilihan pemasok pengendalian persediaan kalkulasi dan penetapan harga serta menjaga hubungan baik dengan pihak pihak terkait pengadaan dan pengelolaan material yang meliputi pemesanan dan forecasting pemilihan pemasok pengendalian persediaan kalkulasi dan penetapan harga serta menjaga hubungan baik dengan pihak pihak terkait melakukan penjualan handphone aksesoris kartu selular dan pengisian pulsa melakukan penjualan handphone aksesoris kartu selular dan pengisian pulsa
271;proposal engineer & purchasing;prepare tender documents do search for inquiry item looking for the best price comparison negotiate to get the best price plan winning bidding strategy
273;chief internal audit and business development manager chief internal audit and business development manager chief internal audit and business development manager chief internal audit and business development manager chief internal audit and business development manager;bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm bekerja di pt securindo packatama indonesia sebagai chief internal audit dan business development manager selama tahun memastikan standard operasional procedure berjalan dengan benar cia memeriksa mengontrol dan menganalisa income dalam suatu lokasi cia dan bdm melakukan cash opname dalam kunjungan auditor dalam suatu lokasi cia melakukan stock opname dengan bagian logistik stock barang dengan do cia melakukan jadwal meeting dengan perusahaan mitra kerja pt spi bdm mencari rekan mitra kerja baru untuk pt spi bdm membuat budget untuk menjadi dasar financial project yang akan diserahkan kepada atasan dan mitra kerja pt spi bdm
279;staff programmer;membuat sistem penunjang kinerja perusahaan
282;sales sales;menjual produk percetakan label menjual produk percetakan label
289;staff principal it data center bank commonwealth;awalnya saya sebagai admin setelah bulan saya diangkat untuk posisi audit internal berkunjung ke cabang malang kediri dan surabaya saya ditempatkan di it data center bank commonwealth tugas saya disana maintenance hardware server report to ibm if server error critical supervise vendor activity data center monitoring server fisik dan virtual restore data by user request management data it surabaya
290;sekretaris redaksi sekretaris redaksi jurnalis / field coordinator jurnalis / field coordinator jurnalis jurnalis;had to list and accommodated the journalists needs list their schedule per day in week and manage editorial meeting twice week wrote the summary and sent to all the editorial staff including the president director have to reported all of those things directly to the chief editor and to the president director had to list and accommodated the journalists needs list their schedule per day in week and manage editorial meeting twice week wrote the summary and sent to all the editorial staff including the president director have to reported all of those things directly to the chief editor and to the president director was journalist in this company for year and then my level was up to field coordinator when was journalist had to go to the informant and collect the information about the main concern of our magazine of the month besides have to collect information for my responsibility to sent some news for the online media too and had to verified data and information that had to some parties in order to write great news when up to be the field coordinator have to manage the field journalist schedule and sent them to the different informant to filled our needs of information had to divided them by their incharge position too and report their works to the editor and chief editor was journalist in this company for year and then my level was up to field coordinator when was journalist had to go to the informant and collect the information about the main concern of our magazine of the month besides have to collect information for my responsibility to sent some news for the online media too and had to verified data and information that had to some parties in order to write great news when up to be the field coordinator have to manage the field journalist schedule and sent them to the different informant to filled our needs of information had to divided them by their incharge position too and report their works to the editor and chief editor had to collect criminal and law information per day to made news was placed in polda metro jaya and dpr had to go to the informants call them and collect every information as much as could and had to verified data and information that had to some parties in order to write great news had to collect criminal and law information per day to made news was placed in polda metro jaya and dpr had to go to the informants call them and collect every information as much as could and had to verified data and information that had to some parties in order to write great news
295;accounting staff;general cashier input transaksi harian ar ap ke sistem sap rekonsiliasi bank laporan rugi laba
301;finance administration accounting and finance;memegang kas kecil melakukan penagihan kepada konsumen membuat faktur pajak melakukan pembayaran kepada supplier mematau dokumen legalisasi perusahaan membuat laporan keuangan bulanan dan mendukung serta bertanggugnjawab terhadap semua hal di bidang keuangan membuat juanal terhadap segala transaksi keuangan perusahaan dan memastikan transaksi yang di entri ke jurnal sudah akurat membuat anggaran dan perkiraan untuk tim manajemen melakukan penggajian untuk karyawan mengelola dan memantau huang piutang perusahaan memantau penghasilan dari transasksi retail online memantau dan meninjau akurasi dari tim purchasing dalam memenuhi permintaan penjualan online mengkoordinasi transaksi jual beli saham perusahaan melakukan pengurusan dan memantau dokumen dokumen legalisasi perusahaan
304;marketing (internship) freelance sales;saya menjalin relasi dengan client dan follow up dengan client untuk project advertising seperti outdoor advertising billboard neon box saya melakukan kegiatan promosi melalui sosial media dan website dengan share project project yang sudah dilakukan oleh tim dari perusahaan kopi panas saya mencari client dari perusahaan swasta atau pemerintah untuk bekerjasama dan menggunakan jasa dari pt marchsutta wijaya wisata saya melakukan promosi dan membuat paket menarik yang saya share di sosial media untuk memikat customer baru
306;distribution admin;membuat surat penawaran merekap data customer membantu dan memonitor proses administrasi polis asuransi hingga polis jadi karena sentralisasi
308;operational,sales dan hrd operational,sales dan hrd operational,sales dan hrd operational,sales dan hrd;bussiness development sales marketing operational hrd ga hrd recruitment training bussiness development sales marketing operational hrd ga hrd recruitment training bussiness development sales marketing operational hrd ga hrd recruitment training bussiness development sales marketing operational hrd ga hrd recruitment training
317;lectures assistant lectures assistant lectures assistant lectures assistant lectures assistant lectures assistant internship junior auditor internship junior auditor internship junior auditor internship junior auditor internship junior auditor internship junior auditor internship internship internship internship internship internship;help my lecture to handled the practice class and some research help my lecture to handled the practice class and some research help my lecture to handled the practice class and some research help my lecture to handled the practice class and some research help my lecture to handled the practice class and some research help my lecture to handled the practice class and some research
320;inspektor estimator;membantu chief inspector team leader dan mengawasi pelaksanaan pekerjaan dari aspek prosedur dan kuantitas pekerjaan berdasarkan dokumen kontrak melakukan pemeriksaan gambar kerja kontraktor berdasarkan gambar rencana serta memeriksa dan memberi ijin pelaksanaan pekerjaan kontraktor berhak menerima dan menolak hasil pekerjaan kontraktor berdasarkan spesifikasi teknis membuat laporan harian mengenai aktivitas kontraktor untuk kemajuan pekerjaan terdiri dari cuaca material yang dating masuk perubahan dan bentuk dan ukuran pekerjaan peralatan di lapangan kuantitas dari pekerjaan yang telah diselesaikan pengukuran di lapangan dan kejadian kejadian khusus membuat catatan lengkap tentang peralatan tenaga kerja dan material yang digunakan dalam setiap pekerjaan yang merupakan atau mungkin akan menjadi pekerjaan tambah extra mempelajari gambar dan spesifikasi teknik daftar kuantitas memastikan kelengkapan teknik gambar dan daftar kuantitas membandingkan spesifikasi teknik dengan gambar dan daftar kuantitas memperkirakan biaya awal berdasarkan gambar untuk tender menghitung biaya berdasarkan pekerjaan sejenis membandingkan antara realisasi dengan hasil perhitungan
329;sales;menjual koran divisi spbu distribusi koran agen flow up penjualan dan mutasi koran
333;agent;memperkenalkan dan menawarkan produk asuransi kepada masyarakat mencari nasabah serta agent baru membangun hubungan baik dengan nasabah lama dan calon nasabah baru
347;pga staff (internship student) business administration and secretary secretary, fl (cs & teller) assistant administrative;handle guest email and phone calls correspondence and distribute letters handle incoming and outgoing letters filing arrange boss schedule including travel arrangement handle insurance and jamsostek making presentation report handle meeting presentation and training making weekly monthly and annual report input and maintain absence include permit overtime and leave handle new employee running hrd programs ex hris and siap send invitation letters meeting psychotest and others help recruitment team handle tax pph and employee database making reports of presentation meeting training and others ensure office facilities and locker is in good condition and ready for use and be controlled maintain office stationery other tasks or responsibilities assigned by ga and hrd manager arrange boss schedule screening phone calls guest email skype follow up clients correspondences travel arrangement prepared meeting training presentation and seminar filing accompanying boss to meeting taking minutes when requested where necessary design brochure maintain office stationery other tasks or responsibilities assigned by owner and manager secretary handle phone calls and meeting filing maintain incoming and outgoing letters communicate and coordinate with internal departments maintain office stationery customer service handle phone calls filing responsible for customer collateral delivery information loan application installment credit limit debit and credit card payment slips payment method interest cheque deposit kurs billing statement tax etc explain company product respond customer inquiries handle and resolve customer complaints maintain customers account process orders forms applications as requested maintain customer database administrative coordinate with internal and external department teller handle customers transactions receive cash from armored cars count and verify those verify cashiers checks sort file and record deposit slips manage bank vault to ensure correct cash balances provide account balance information to customer ensure that the cash drawer is balanced and maintained at all times perform end of the day recap of money and bank slips making daily report checking vault balance atm and cdm maintenance finance petty cash bills cash flow allowances financial report secretarial duties manage boss schedule travel arrangement transportation petty cash screening phone calls greet visitors preparing materials and presentations for meeting taking minutes when requested where necessary responsible with monthly and annual payment electricity water wifi phone bills newspaper security iuran rt rw tax etc compose type and distribute meeting notes routine correspondence and reports make copies of correspondence and other printed material learn to operate new office technologies as they are developed and implemented maintain office stationery administrative work filing responsible with everything when director is not around follow up quotation final approval payments dp installment final making report checking project to field also by phone building maintenance including cleanliness phone internet and office assets maintenance office look maintenance furniture and etc other tasks or responsibilities assigned by director
350;staf sdm staf marketing;mengelola proses rekrutmen dan seleksi area jatim memenuhi target man power planning perusahaan menyusun administrasi personalia absen lembur hris asuransi pkwt menjalin relasi dengan vendor di luar perusahaan menawarkan jasa biro psikologi menjalin relasi dengan klien mengatur jadwal pelaksanaan tes psikologi menyusun proposal dan anggaran tes psikologi mengintegrasikan kebutuhan pelaksanaan tes psikologi dengan berbagai pihak
353;customer service officer teller;berhubungan langsung dengan nasabah dalam memenuhi kebutuhannya membuka rekening menyelesaikan masalah terkait rekeningnya maupun produk perbankan lainnya mengidentifikasi kebutuhan masalah menganalisa dan memberi solusi yang efektif membina hubungan yang baik terhadap nasabah memasarkan produk dan jasa perbankan kepada nasabah melaksanakan kegiatan administratif terkait kegiatan operasional perbankan yaitu melakukan filing form aplikasi rekening pencatatan administrasi stock buku tabungan kartu atm cek bg melayani transaksi perbankan menyelesaikan transaksi tunai maupun non tunai dengan benar dan teliti menghitung uang nasabah dengan benar dan menginputnya pada sistem mencocokkan fisik uang dengan jumlah uang pada sistem mengelola kas kecil menjaga hubungan baik dengan nasabah termasuk perilaku baik terhadap semua nasabah memberikan saran produk yang tepat kepada nasabah
357;field verifier;verifikasi data calon nasabah dan report ke bagian analis kredit
