ApplicantID,DateFrom,DateTo,Industry,Position,Salary,ExpectedSalary,Age,EducationLevelName,MajorName
203,2011-12-01,2013-03-01,Rumah Sakit,Tester,2200000.0,4500000.0,32,S1,PSIKOLOGI
203,2014-05-01,2018-04-01,Pusat Alat Bantu Dengar,Terapis untuk Anak,4000000.0,4500000.0,32,S1,PSIKOLOGI
212,2015-09-01,2018-01-01,ADVERTISING,MARKETING SUPPORT,2800000.0,4000000.0,35,S1,AKUNTANSI
239,2017-05-01,2018-01-01,SUPPLIER GRANITE,ADMINISTRATION IMPORT,2700000.0,3500000.0,29,S1,SEMUA JURUSAN
241,2017-09-01,2018-03-01,Ceramic distributor,Admin piutang,3400000.0,4000000.0,36,D3,AKUNTANSI
241,2011-04-01,2017-02-01,Retail electronic,Spv. Admin buyer,3800000.0,4000000.0,36,D3,AKUNTANSI
241,2009-08-01,2011-03-01,Flexible packaging,Admin hutang dan pembelian,1500000.0,4000000.0,36,D3,AKUNTANSI
249,2016-02-01,2016-08-01,EDUCATION,STAFF FOR VICE DEAN III,2000000.0,4000000.0,29,S1,SEMUA JURUSAN
255,2014-10-01,2017-05-01,Industri & Konstruksi,Pjs. Kasie Akuntansi & Keuangan,6480000.0,5500000.0,33,S1,AKUNTANSI
255,2017-06-01,2018-02-01,Industri Hasil Laut,Spv Akuntansi & Keuangan Trainee,5200000.0,5500000.0,33,S1,AKUNTANSI
262,2015-11-01,2018-05-01,Retail,Administration Staff,2700000.0,3000000.0,25,SMK,TEKNIK INFORMATIKA
267,2016-04-01,2017-11-01,Outsourcing,IT Support,3800000.0,3000000.0,31,S1,TEKNIK INFORMATIKA
268,2013-04-01,2013-12-01,Agrikultural / Perkebunan / Peternakan Unggas / Perikanan,Staff Purchasing,1800000.0,3000000.0,34,S1,SEMUA JURUSAN
268,2016-02-01,2017-06-01,Retail / Merchandise handphone,karyawan,1000000.0,3000000.0,34,S1,SEMUA JURUSAN
271,2016-12-01,2018-03-01,"Trading Electrical, Instrument, Mechanic",Proposal Engineer & Purchasing,3500000.0,4000000.0,29,D4,TEKNIK INFORMATIKA
279,2016-07-01,2017-04-01,PRODUSEN TEH VILLA,STAFF PROGRAMMER,3000000.0,4300000.0,0,S1,TEKNIK INFORMATIKA
289,2011-10-01,2012-11-01,INDEX FOREX,STAFF PRINCIPAL,3800000.0,5200000.0,34,D3,TEKNIK INFORMATIKA
289,2012-11-01,2017-06-01,IT CONSULTANT,IT DATA CENTER BANK COMMONWEALTH,5200000.0,5200000.0,34,D3,TEKNIK INFORMATIKA
290,2012-03-01,2014-04-01,MEDIA ,SEKRETARIS REDAKSI,3400000.0,5200000.0,31,S1,KOMUNIKASI
290,2014-05-01,2015-07-01,MEDIA,JURNALIS / FIELD COORDINATOR,4000000.0,5200000.0,31,S1,KOMUNIKASI
290,2015-07-01,2016-09-01,MEDIA,JURNALIS,4300000.0,5200000.0,31,S1,KOMUNIKASI
304,2015-06-01,2015-08-01,MICE,Marketing (internship),750000.0,5000000.0,27,S1,KOMUNIKASI
304,2018-02-01,2018-04-01,Tour and Travel,Freelance Sales,3000000.0,5000000.0,27,S1,KOMUNIKASI
317,2015-03-01,2017-12-01,EDUCATION,LECTURES ASSISTANT,2500000.0,5000000.0,26,S1,AKUNTANSI
317,2016-12-01,2017-02-01,FINANCE,INTERNSHIP JUNIOR AUDITOR,1500000.0,5000000.0,26,S1,AKUNTANSI
317,2017-12-01,2018-02-01,BANKING,INTERNSHIP,1000000.0,5000000.0,26,S1,AKUNTANSI
320,2017-10-01,2017-12-01,Konsultan konstruksi,Inspektor,3500000.0,5500000.0,27,S1,TEKNIK SIPIL
320,2018-02-01,2018-03-01,Contraktor,Estimator,5268541.0,5500000.0,27,S1,TEKNIK SIPIL
301,2016-04-01,2018-02-01,SOFTWAREOUSE,ACCOUNTING AND FINANCE,7650000.0,8000000.0,29,S1,AKUNTANSI
301,2015-08-01,2016-03-01,SUPPLIER AND TRADING,FINANCE ADMINISTRATION,2700000.0,8000000.0,29,S1,AKUNTANSI
329,2016-09-01,2017-02-01,media,sales,2400000.0,4000000.0,31,S1,SEMUA JURUSAN
347,2017-03-01,2017-09-01,HOLDING COMPANY,ASSISTANT ADMINISTRATIVE,4500000.0,4500000.0,30,D3,SEKRETARIS
347,2014-09-01,2014-02-01,BANKING,"SECRETARY, FL (CS & TELLER)",3400000.0,4500000.0,30,D3,SEKRETARIS
347,2014-03-01,2014-08-01,EDUCATION,BUSINESS ADMINISTRATION AND SECRETARY,2000000.0,4500000.0,30,D3,SEKRETARIS
347,2013-02-01,2013-06-01,MINUMAN DALAM KEMASAN,PGA STAFF (Internship Student),500000.0,4500000.0,30,D3,SEKRETARIS
350,2010-08-01,2012-08-01,JASA KEUANGAN NON BANK,STAF SDM,3700000.0,3800000.0,35,S1,PSIKOLOGI
350,2013-05-01,2014-10-01,BIRO JASA PSIKOLOGI,STAF MARKETING,2500000.0,3800000.0,35,S1,PSIKOLOGI
353,2013-06-01,2015-01-01,PERBANKAN,CUSTOMER SERVICE OFFICER,2700000.0,3700000.0,31,D3,SEMUA JURUSAN
353,2015-02-01,2018-02-01,PERBANKAN,TELLER,4150000.0,3700000.0,31,D3,SEMUA JURUSAN
357,2016-04-01,2016-09-01,Leasing,Field Verifier,2000000.0,5000000.0,30,S1,AKUNTANSI
368,2012-06-01,2016-10-01,Retail Fashion,HR & GA Supervisor,5600000.0,4000000.0,33,S1,PSIKOLOGI
370,2016-11-01,2016-11-01,Psychological Practice,Psychological Assistance,500000.0,3800000.0,26,S1,PSIKOLOGI
295,2009-09-01,2017-02-01,PERHOTELAN,ACCOUNTING STAFF,4150000.0,4000000.0,37,S1,SEMUA JURUSAN
385,2016-03-01,2018-03-01,Jasa,Staff,3000000.0,3500000.0,29,S1,HUKUM
403,2015-10-01,2016-10-01,Telekomunikasi,Admin & document project,3500000.0,3500000.0,29,D3,TEKNIK ELEKTRO
406,2016-10-01,2017-04-01,Leasing,Management Development Program,3500000.0,4000000.0,29,S1,SEMUA JURUSAN
399,2012-01-01,2018-04-01,Education,"Teacher, IT Technition",1500000.0,3500000.0,33,S1,TEKNIK INFORMATIKA
367,2010-09-01,2011-03-01,Jasa,Admin,1500000.0,4000000.0,37,S1,PSIKOLOGI
409,2017-01-01,2017-08-01,CV,ASISTEN (STAFF FREELANCE),450000.0,2500000.0,27,S1,PSIKOLOGI
425,2011-11-01,2012-03-01,Media informasi,Account Executive,2500000.0,6000000.0,32,S2,HUKUM
425,2012-06-01,2013-03-01,FOOD AND BEVERAGE,MANAGEMENT BANQUET,3500000.0,6000000.0,32,S2,HUKUM
425,2013-09-01,2014-12-01,Perbankan,Customer Service Officer And Product Perbankan,4500000.0,6000000.0,32,S2,HUKUM
425,2014-12-01,2017-12-01,Media Pertelevisian,Secretary General Service ,6300000.0,6000000.0,32,S2,HUKUM
427,2015-01-01,2017-01-01,jasa makanan dan minuman,staff legal,3000000.0,4000000.0,38,S1,HUKUM
428,2017-03-01,2017-12-01,Distributor Bahan bangunan,Staf Accounting,3250000.0,3000000.0,35,S1,AKUNTANSI
439,2012-01-01,2012-02-01,Insurance,Staff Percobaan,3000000.0,3000000.0,34,S2,HUKUM
439,2013-01-01,2013-01-01,Provider,Freelance Admin,1000000.0,3000000.0,34,S2,HUKUM
445,2017-11-01,2018-05-01,Farmasi,License Staff,3600000.0,4000000.0,28,S1,HUKUM
445,2017-04-01,2017-07-01,Outshorcing,Legal Administrator Staff ,3300000.0,4000000.0,28,S1,HUKUM
445,2016-02-01,2017-02-01,Konstrusi dan Mekanikal,Supervisor Legal & GA,4450000.0,4000000.0,28,S1,HUKUM
443,2011-01-01,2013-12-01,Pendidikan,Kepala Staff Administrasi,1500000.0,4000000.0,36,S1,SEMUA JURUSAN
443,2014-01-01,2017-12-01,PENDIDIKAN,KEPALA SEKOLAH ,1500000.0,4000000.0,36,S1,SEMUA JURUSAN
449,2014-03-01,2015-03-01,Pendidikan,Asistan Lab,600000.0,4000000.0,29,S1,TEKNIK INFORMATIKA
440,2013-08-01,2017-10-01,Asuransi,General afair staff-Ekspedisi,3500000.0,3500000.0,32,S1,TEKNIK INFORMATIKA
464,2015-10-01,2018-04-01,Pelayaran,Staff Accounting,3800000.0,4800000.0,31,S1,AKUNTANSI
455,2013-03-01,2017-08-01,Food Industries,Accounting Staff,3000000.0,3000000.0,37,S1,AKUNTANSI
473,2013-01-01,2015-01-01,manufaktur,purch&log,3000000.0,3500000.0,38,S1,SEMUA JURUSAN
473,2016-01-01,2017-04-01,perhotelan,purchasing,3500000.0,3500000.0,38,S1,SEMUA JURUSAN
473,2017-05-01,2018-05-01,resto,purchasing,3500000.0,3500000.0,38,S1,SEMUA JURUSAN
491,2016-07-01,2017-08-01,Constructions,Administration Staff,1350000.0,5000000.0,28,S1,HUKUM
282,2011-03-01,2011-06-01,Percetakan,Sales,1800000.0,3500000.0,34,S1,SEMUA JURUSAN
519,2014-01-01,2017-01-01,Hiburan,Crew Leader,3300000.0,5000000.0,32,S1,KOMUNIKASI
515,2010-10-01,2013-06-01,PENDIDIKAN,STAFF TATA USAHA,855000.0,4000000.0,32,S1,PSIKOLOGI
515,2016-07-01,2017-06-01,BIRO PSIKOLOGI,ASISTEN KONSULTAN,300000.0,4000000.0,32,S1,PSIKOLOGI
531,2015-03-01,2017-12-01,Law Services,Legal Staff,3300000.0,4500000.0,30,S1,HUKUM
532,2013-12-01,2014-11-01,Penerbitan,Staf HRD,3000000.0,4000000.0,31,S1,PSIKOLOGI
567,2013-10-01,2017-11-01,Property,Sales Consultant,6000000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2013-06-01,2013-09-01,Property,Marketing Executive,1800000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2012-11-01,2013-05-01,Kontraktor,Administrasi Quality Control,2800000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2011-11-01,2012-10-01,Perbankan,Mikro Kredit Sales,2500000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2010-10-01,2011-10-01,Manufacturing,Operator Produksi,2800000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2009-07-01,2010-06-01,Manufacturing,Operator Produksi,3000000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
567,2008-06-01,2009-05-01,Manufacturing,Operator Produksi,2300000.0,5000000.0,33,D3,TEKNIK INFORMATIKA
577,2015-03-01,2018-04-01,MANUFACTURE,ACCOUNTING STAFF,3500000.0,3500000.0,31,S1,AKUNTANSI
599,2012-09-01,2017-12-01,Legal Service,Staff Administrasi,2500000.0,3700000.0,28,S1,HUKUM
600,2016-10-01,2017-08-01,Distributor,Head of Administration,5000000.0,7000000.0,35,D3,AKUNTANSI
609,2016-06-01,2017-09-01,OUTSOURCHING,ADMIN HRD & GA,2500000.0,3500000.0,30,D3,KOMUNIKASI
609,2017-10-01,2018-03-01,OLAHRAGA,EVENT,3200000.0,3500000.0,30,D3,KOMUNIKASI
609,2018-03-01,2018-05-01,FOOD AND BEVERAGE,ADMIN HRD & GA,2500000.0,3500000.0,30,D3,KOMUNIKASI
626,2015-07-01,2015-09-01,"NEWS, TELEVISION",STUDIO CREW,300000.0,4000000.0,28,S1,KOMUNIKASI
626,2017-02-01,2018-07-01,"ENTERTAIMENT, TELEVISION",CONTROL ROOM OPERATOR,4000000.0,4000000.0,28,S1,KOMUNIKASI
622,2014-01-01,2014-10-01,"Event, Periklanan, campaign, consultan",Freeland Designer,1500000.0,3300000.0,29,S1,KOMUNIKASI
622,2015-11-01,2016-01-01,vendor management service,"Designer, Walker & Data Riset",2800000.0,3300000.0,29,S1,KOMUNIKASI
622,2016-02-01,2016-05-01,"commercially creative space, commercial photography and Videos company",Graphic Design and Asistand Fotografer,3000000.0,3300000.0,29,S1,KOMUNIKASI
622,2017-05-01,2018-03-01,Retail,Graphic Design,3600000.0,3300000.0,29,S1,KOMUNIKASI
631,2015-01-01,2016-09-01,Konsultan SDM dan Manajemen,Freelance Recruitment dan assessment,2000000.0,4200000.0,31,S1,PSIKOLOGI
631,2015-02-01,2015-05-01,Entertainment dan media,HR Recruitment (internship),2500000.0,4200000.0,31,S1,PSIKOLOGI
631,2017-07-01,2017-12-01,Alat berat dan konstruksi,HR admin dan payroll,3300000.0,4200000.0,31,S1,PSIKOLOGI
238,2017-04-01,2018-01-01,Hospital,Hrd,1600000.0,3500000.0,28,S1,PSIKOLOGI
637,2018-02-01,2018-06-01,telekomunikasi,content creator,3000000.0,3200000.0,26,D3,KOMUNIKASI
646,2013-01-01,2016-01-01,Perbankan,Teller,3000000.0,3500000.0,33,S1,SEMUA JURUSAN
646,2016-01-01,2018-03-01,Retail,Administrasi,2750000.0,3500000.0,33,S1,SEMUA JURUSAN
661,2016-02-01,2018-04-01,Hospitality,Front liner,3500000.0,3500000.0,33,S1,SEMUA JURUSAN
661,2015-03-01,2016-03-01,Non Profit organization,Face to face Fundraiser,4000000.0,3500000.0,33,S1,SEMUA JURUSAN
659,2018-01-01,2018-05-01,HOTEL & TOURISM,DIGITAL MARKETING STAFF,2500000.0,3750000.0,28,S1,HUKUM
628,2007-06-01,2010-06-01,Retail,HRD officer,3800000.0,6000000.0,0,S1,SEMUA JURUSAN
669,2013-03-01,2014-12-01,TISSUE & PACKAGING,SECRETARY,3200000.0,6000000.0,33,S1,SEMUA JURUSAN
669,2014-12-01,2016-11-01,CONSTRUCTION,SECRETARY,4700000.0,6000000.0,33,S1,SEMUA JURUSAN
669,2016-12-01,2018-02-01,CONSTRUCTION,SECRETARY & DOC. CONTROLLER,9000000.0,6000000.0,33,S1,SEMUA JURUSAN
629,2015-02-01,2016-08-01,industry creative,Consultant in Human Resource Development and Communication Design,3400000.0,3500000.0,32,S1,SEMUA JURUSAN
629,2014-06-01,2016-11-01,Event Creative,The coordinator for event organization vendor ,4000000.0,3500000.0,32,S1,SEMUA JURUSAN
629,2014-01-01,2014-12-01,Education,Human resource management,3000000.0,3500000.0,32,S1,SEMUA JURUSAN
670,2017-08-01,2018-05-01,Properti/real estate,Sekretaris,4000000.0,4500000.0,27,D3,SEKRETARIS
670,2016-08-01,2017-08-01,Distributor Aqua,Sekretaris,4000000.0,4500000.0,27,D3,SEKRETARIS
616,2012-01-01,2013-01-01,perbankan,Personal Banking Officer ,3500000.0,9000000.0,34,S1,KOMUNIKASI
616,2013-01-01,2013-11-01,perbankan,Premier Banking Manager ,7000000.0,9000000.0,34,S1,KOMUNIKASI
616,2013-12-01,2014-11-01,perbankan,Relationship Manager Wealth Banking  ,10000000.0,9000000.0,34,S1,KOMUNIKASI
616,2014-11-01,2016-03-01,media,Account Manager  ,5000000.0,9000000.0,34,S1,KOMUNIKASI
616,2016-03-01,2018-05-01,media,Account Executive ,7000000.0,9000000.0,34,S1,KOMUNIKASI
684,2016-09-01,2018-02-01,HAJJ & UMRAH TRAVEL,LOGISTIC ADMINISTRATION,3000000.0,3500000.0,0,S1,SEMUA JURUSAN
710,2017-10-01,2018-03-01,LAW FIRM,JUNIOR LAWYER,5000000.0,7000000.0,0,S1,HUKUM
710,2017-04-01,2017-10-01,LBH,ASSISTANT LAWYER,3000000.0,7000000.0,0,S1,HUKUM
710,2016-10-01,2017-10-01,LAW FIRM,ASSISTANT LAWYER,3000000.0,7000000.0,0,S1,HUKUM
663,2015-05-01,2016-05-01,Manufacture & Construction struktur tower transmission line dan jembatan girder,Staff Project Control,4000000.0,0.0,0,S1,SEMUA JURUSAN
663,2017-02-01,2017-11-01,Interior room Design,"Warehouse, purchasing, procurement, logistik",3500000.0,0.0,0,S1,SEMUA JURUSAN
718,2017-04-01,2017-10-01,Media / Pay TV,Staff Retention,3350000.0,4500000.0,27,S1,HUKUM
718,2018-01-01,2018-05-01,E-commerce,Operational Logistic,4000000.0,4500000.0,27,S1,HUKUM
717,2017-01-01,2017-06-01,Tour&travel,Admin,1500000.0,3300000.0,29,S1,PSIKOLOGI
717,2017-09-01,2017-10-01,Retail Event ,Membership Team Leader,3600000.0,3300000.0,29,S1,PSIKOLOGI
717,2017-12-01,2018-01-01,Non-profit organization,Junior Fundraiser,3300000.0,3300000.0,29,S1,PSIKOLOGI
724,2017-04-01,2018-04-01,Construction,Staff Admin,4000000.0,4500000.0,29,S1,HUKUM
731,2018-02-01,2018-04-01,Retail,HR Rekrutmen,3755000.0,4350000.0,32,S1,PSIKOLOGI
728,2011-12-01,2017-01-01,PAY TV,STAFF CUSTOMER OPERATION ,3100000.0,4000000.0,42,D3,AKUNTANSI
750,2017-04-01,2018-03-01,Software House,Programmer Desktop,3000000.0,3500000.0,30,S1,TEKNIK INFORMATIKA
738,2004-10-01,2005-12-01,Management Building,tecnician,1200000.0,5000000.0,40,SMK,TEKNIK ELEKTRO
738,2006-01-01,2015-12-01,Management Building,tecnician,3800000.0,5000000.0,40,SMK,TEKNIK ELEKTRO
765,2017-06-01,2017-12-01,Flavor and fragrance,Document Control dan Staff HRD,3600000.0,3500000.0,28,S1,SEMUA JURUSAN
775,2016-12-01,2017-12-01,Property and Real Estate,Legal Staff,5000000.0,4000000.0,0,S1,HUKUM
813,2014-02-01,2018-02-01,Perbankan,Staff Internal Audit ,4500000.0,5000000.0,31,S1,AKUNTANSI
841,2016-03-01,2018-06-01,IMPORTIR DISTRIBUTOR,STAFF HRD,4500000.0,4500000.0,33,S1,PSIKOLOGI
841,2016-02-01,2016-04-01,KLINIK,HRD,3500000.0,4500000.0,33,S1,PSIKOLOGI
841,2014-11-01,2016-02-01,Outsourching,Staff Rekruitment,3000000.0,4500000.0,33,S1,PSIKOLOGI
841,2013-03-01,2014-09-01,Lembaga Psikologi & Pengembangan SDM,Personalia dan Konselor,2700000.0,4500000.0,33,S1,PSIKOLOGI
850,2012-10-01,2014-05-01,FOOD AND BEVERAGE,FINANCE AND ACCOUNTING,2600000.0,3500000.0,30,S1,PSIKOLOGI
855,2015-03-01,2017-12-01,Law Services,Legal Staff,3300000.0,4750000.0,30,S1,HUKUM
866,2014-12-01,2015-03-01,General Contractor,Trainee,1500000.0,4000000.0,29,S2,TEKNIK SIPIL
875,2013-01-01,2013-01-01,RETAIL,ENGINEERING,3000000.0,4000000.0,0,SMK,TEKNIK ELEKTRO
875,2016-06-01,2018-01-01,HOTELIER,ENGINEERING STAFF,3500000.0,4000000.0,0,SMK,TEKNIK ELEKTRO
873,2013-04-01,2014-08-01,Banking,Marketing kredit sales,3000000.0,0.0,0,S1,SEMUA JURUSAN
873,2014-09-01,2015-01-01,Banking,Account officer,2400000.0,0.0,0,S1,SEMUA JURUSAN
873,2015-02-01,2016-12-01,Konstruksi,Sales Project,3200000.0,0.0,0,S1,SEMUA JURUSAN
878,2015-09-01,2018-02-01,MEDIA,VIDEO JOURNALIST,4700000.0,4000000.0,31,S1,SEMUA JURUSAN
858,2017-02-01,2018-02-01,Telecommunication - ICT Services and Business Process Outsourcing (BPO),Technical Support Representative,4870000.0,5500000.0,34,S1,KOMUNIKASI
858,2010-12-01,2011-03-01,Telecommunication,Assistant Staff,500000.0,5500000.0,34,S1,KOMUNIKASI
858,2014-05-01,2014-12-01,IT Hardware,Epson Sales and Service Staff (Presales Dept),4600000.0,5500000.0,34,S1,KOMUNIKASI
858,2014-12-01,2015-05-01,IT Services (e-commerce),Business Development Consultant,4700000.0,5500000.0,34,S1,KOMUNIKASI
858,2015-08-01,2015-11-01,Banking,Sales Officer,6400000.0,5500000.0,34,S1,KOMUNIKASI
858,2016-01-01,2016-11-01,IT Training Services,Marketing Officer,4000000.0,5500000.0,34,S1,KOMUNIKASI
892,2017-09-01,2017-10-01,Institute,Document Control (Temporary),2700000.0,3500000.0,28,S1,SEMUA JURUSAN
910,2016-05-01,2018-06-01,Consumer Goods,Admin Operator,4000000.0,4000000.0,31,S1,AKUNTANSI
913,2017-07-01,2017-10-01,Finance,Associate Psychological Tester,2000000.0,4000000.0,30,S1,PSIKOLOGI
917,2016-07-01,2018-07-01,Pemerintah,Staf Biro Hukum dan Komunikasi Publik,5000000.0,5500000.0,31,S2,HUKUM
945,2015-11-01,2017-07-01,Teaching,Teacher,2100000.0,3500000.0,29,S1,SEMUA JURUSAN
950,2016-02-01,2018-07-01,Education,Full time teacher,3200000.0,4000000.0,28,S1,SEMUA JURUSAN
967,2014-12-01,2015-10-01,Advokat,Magang,1000000.0,5500000.0,30,S2,HUKUM
967,2015-11-01,2017-12-01,Pembiayaan,Legal,5000000.0,5500000.0,30,S2,HUKUM
967,2019-12-01,2019-06-01,Industri Pulp And Paper,Legal Corporate And Industrial Relations,4000000.0,5500000.0,30,S2,HUKUM
1009,2015-02-01,2016-02-01,Perbankan,Sekretaris,3500000.0,0.0,0,S1,SEMUA JURUSAN
1010,2017-06-01,2018-04-01,TELECOMMUNICATION,CAROLINE OFFICER,3600000.0,3600000.0,37,S2,SEMUA JURUSAN
1010,2015-07-01,2017-05-01,EDUCATION,ACADEMIC STAFF,3200000.0,3600000.0,37,S2,SEMUA JURUSAN
1017,2017-09-01,2018-03-01,Pelayanan Hukum,Konsultan Hukum,1500000.0,5000000.0,27,S1,HUKUM
1052,2017-11-01,2018-04-01,Aluminium,Japanese Interpreter Admin,4000000.0,3500000.0,29,S1,SEMUA JURUSAN
1054,2017-12-01,2018-04-01,Retail,Legal Staff,4000000.0,6000000.0,27,S1,HUKUM
1053,2015-05-01,2018-06-01,Telecommunications,Legal staff,5500000.0,5500000.0,31,S1,HUKUM
1068,2014-10-01,2018-05-01,Advokat & Legal Consultant,Legal / Junior Lawyer,5000000.0,0.0,37,S1,HUKUM
1068,2014-05-01,2014-10-01,Advertising Agency,Account Executive,3750000.0,0.0,37,S1,HUKUM
1068,2013-08-01,2014-05-01,Media Cetak,Account Executive,3000000.0,0.0,37,S1,HUKUM
1069,2017-11-01,2018-02-01,Hukum,Asisten Lawyer,5000000.0,5000000.0,27,S1,HUKUM
1085,2015-03-01,2017-07-01,Trading & Distribution,Supervisor Beauty Advisor,6000000.0,6000000.0,36,S1,AKUNTANSI
1092,2016-01-01,2017-12-01,Lembaga Penyelenggara Kesejahteraan Sosial,Staff Konselor (magang),150000.0,4500000.0,27,S1,PSIKOLOGI
708,2016-04-01,2017-04-01,Distributor Frozen Fish,Accountant,2000000.0,4500000.0,28,S1,HUKUM
708,2015-02-01,2016-03-01,Law Office,Assistant Lawyer,1000000.0,4500000.0,28,S1,HUKUM
1103,2018-04-01,2018-06-01,FARMASI,FINANCE,3600000.0,4000000.0,28,S1,SEMUA JURUSAN
1103,2017-06-01,2017-12-01,PERBANKAN,MARKETING ,4900000.0,4000000.0,28,S1,SEMUA JURUSAN
1111,2016-04-01,2016-12-01,manufaktur,ppic staff,4000000.0,0.0,0,S1,SEMUA JURUSAN
1111,2017-01-01,2018-05-01,IT,Consultant,4000000.0,0.0,0,S1,SEMUA JURUSAN
1125,2017-04-01,2020-09-01,Electronic,Digital Marketing and CS,5500000.0,6000000.0,33,S1,KOMUNIKASI
1125,2015-09-01,2015-12-01,Advertising,Account Executive,3000000.0,6000000.0,33,S1,KOMUNIKASI
1125,2014-03-01,2015-02-01,Supply Chains / heavy industrial,Sales Counter,2500000.0,6000000.0,33,S1,KOMUNIKASI
1125,2012-03-01,2014-02-01,Media - Radio,Account Executive,23000000.0,6000000.0,33,S1,KOMUNIKASI
